1,
3,Universidad de Harvard
5,Universidad de California-Berkeley
7,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
9,Universidad de Columbia
11,Universidad de Chicago
13,Universidad de Yale
15,Universidad de California, Los \xc3\x83\xc2\x81ngeles
17,Universidad de Pennsylvania
19,Universidad de Wisconsin - Madison 
21,Universidad de Tokio
23,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
25,Universidad de Kioto
27,Universidad de Toronto
29,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
31,Universidad de Washington en St. Louis
33,Universidad de Nueva York
35,Universidad de Rockefeller
37,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
39,Universidad de Maryland, College Park
41,Universidad de Texas en Austin
43,Centro M\xc3\x83\xc2\xa9dico Suroccidental de la Universidad de Texas en Dallas
45,Universidad Pierre y Marie Curie - Par\xc3\x83\xc2\xads VI
47,Universidad de Copenhague
49,Universidad de Utrecht
51,Universidad de Par\xc3\x83\xc2\xads Sur (Paris XI)
53,Instituto Karolinska
55,Universidad de Z\xc3\x83\xc2\xbarich
57,Universidad de Edimburgo
59,Universidad T\xc3\x83\xc2\xa9cnica de M\xc3\x83\xc2\xbanich
61,Universidad Nacional Australiana
63,Universidad de Br\xc3\x83\xc2\xadstol
65,Universidad Estatal de Ohio - Columbus
67,Universidad de Purdue - Lafayette del Oeste
69,Universidad de Heidelberg
71,Universidad de Helsinki
73,Universidad de Brown
75,Escuela Normal Superior de Paris
77,Universidad de Rochester
79,Universidad de Sheffield
81,Universidad de Tohoku
83,Colegio Universitario de King de Londres
85,Universidad de Boston 
87,Universidad Estatal de M\xc3\x83\xc2\xadchigan
89,Universidad de Basilea
91,Universidad de McMaster
93,Universidad de Birmingham
95,Universidad Estatal de Arizona
97,Universidad de Virginia
99,Universidad de Lund
2,Universidad de Stanford
4,Universidad de Cambridge 
6,Instituto de Tecnolog\xc3\x83\xc2\xada de California
8,Universidad de Princeton
10,Universidad de Oxford
12,Universidad de Cornell
14,Universidad de California, San Diego
16,Universidad de Washington
18,Universidad de California, San Francisco
20,Universidad Johns Hopkins
22,Escuela Universitaria de Londres
24,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Z\xc3\x83\xc2\xbarich
26,Universidad de Illinois en Urbana-Champaign
28,Universidad de Minnesota, Twin Cities
30,Universidad del Noroeste
32,Universidad de Duke
34,Universidad de Colorado en Boulder 
36,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
38,Universidad de Carolina del Norte en Chapel Hill
40,Universidades en Manchester
42,Universidad Estatal de Pensilvania - University Park
44,Universidad de Vanderbilt
46,Universidad de California, Irvine
48,Universidad de California, Davis
50,Universidad del Sur de California
52,Universidad de Pittsburgh-Campus de Pittsburgh
54,Rutgers, Universidad Estatal New Jersey - New Brunswick
56,Universidad de M\xc3\x83\xc2\xbanich
58,Universidad de Florida
60,Universidad de McGill
62,Universidad Carnegie Mellon
64,Universidad de Oslo
66,Universidad Hebrea de Jerusal\xc3\x83\xc2\xa9n
68,Universidad de Osaka
70,Universidad Estatal de Mosc\xc3\x83\xc2\xba
72,Universidad de Upsala
74,Universidad de Melbourne
76,Universidad de Leiden
78,Universidad de Arizona
80,Universidad de Utah
82,Universidad de Nottingham
84,Universidad Occidental de la Reserva del Caso
86,Universidad de Estocolmo
88,Universidad de Texas A&M
90,Universidad de Gotinga
92,Universidad de Indiana Bloomington
94,Universidad de Aarhus
96,Universidad de Friburgo
98,Universidad Rice
100,Universidad de S\xc3\x83\xc2\xaddney
