1,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
3,Universidad de California-Berkeley
5,Universidad de Texas en Austin
7,Instituto de Tecnolog\xc3\x83\xc2\xada de Georgia
9,Universidad Carnegie Mellon
11,Universidad Tecnol\xc3\x83\xc2\xb3gica de Nanyang 
13,Universidad de Cambridge 
15,Universidad de California, San Diego
17,Universidad Nacional de Singapur
19,Universidad de Purdue - Lafayette del Oeste
21,Universidad del Noroeste
23,Instituto de Tecnolog\xc3\x83\xc2\xada de Harbin
25,Universidad de Harvard
27,Universidad de la Ciudad de Hong Kong
29,Universidad de Minnesota, Twin Cities
31,Universidad de Maryland, College Park
33,Universidad Pierre y Marie Curie - Par\xc3\x83\xc2\xads VI
35,Universidad Estatal de Ohio - Columbus
37,Universidad de Cornell
39,Universidad de Tohoku
41,Universidad de Nueva Gales del Sur 
43,Universidad de Ciencias y Tecnolog\xc3\x83\xc2\xada de China
45,Universidad Rey Abdulaziz
47,Universidad de Waterloo
49,Universidad de Tecnolog\xc3\x83\xc2\xada de Eindhoven
51,Universidad Estatal de Arizona
53,Universidad de Fudan
55,Universidad de Corea
57,Universidad de Monash
59,Universidad Nacional Chiao Tung
61,Universidad Nacional de Se\xc3\x83\xc2\xbal
63,Universidad T\xc3\x83\xc2\xa9cnica de M\xc3\x83\xc2\xbanich
65,Universidad China de Hong Kong
67,Universidad de California, Davis
69,Universidad de Colorado en Boulder 
71,Universidad de Southampton
73,Universidad de Wisconsin - Madison 
75,Universidad de Zhejiang
77,Universidad Central del Sur 
79,Universidad de Ciencia y Tecnolog\xc3\x83\xc2\xada de Huazhong
81,Instituto Avanzado de Ciencia y Tecnolog\xc3\x83\xc2\xada de Corea
83,Universidad de Kioto
85,Universidad de Osaka
87,Universidad de Ciencias y Tecnolog\xc3\x83\xc2\xada de Pohang
89,Universidad Polit\xc3\x83\xc2\xa9cnica de Hong Kong
91,Universidades en Manchester
93,Universidad de Tokio
95,Universidad de Alberta
97,Universidad Erlangen-N\xc3\x83\xc2\xbcremberg
99,Universidad de Pennsylvania
2,Universidad de Stanford
4,Universidad de Illinois en Urbana-Champaign
6,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
8,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
10,Universidad de Texas A&M
12,Universidad de Tsinghua
14,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Lausana
16,Universidad Estatal de Pensilvania - University Park
18,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
20,Instituto de Tecnolog\xc3\x83\xc2\xada de California
22,Universidad de Princeton
24,Universidad de Toronto
26,Universidad del Sur de California
28,Universidad Jiaotong de Shangh\xc3\x83\xc2\xa1i
30,Universidad de California, Los \xc3\x83\xc2\x81ngeles
32,Universidad Estatal de Carolina del Norte - Raleigh
34,Universidad de Washington
36,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Z\xc3\x83\xc2\xbarich
38,Universidad T\xc3\x83\xc2\xa9cnica de Dinamarca
40,Universidad de Ciencia y Tecnolog\xc3\x83\xc2\xada de Hong Kong
42,Universidad Nacional de Taiw\xc3\x83\xc2\xa1n
44,Technion-Instituto Tecnol\xc3\x83\xc2\xb3gico de Israel
46,Universidad de Melbourne
48,Universidad de Tecnolog\xc3\x83\xc2\xada del Sur de China
50,an"
52,Universidad de Duke
54,Universidad Rey Abdullah de Ciencia y Tecnolog\xc3\x83\xc2\xada
56,KU Leuven
58,Universidad Nacional Cheng Kung
60,Universidad Rice
62,Universidad del Sudeste
64,Universidad de Tel Aviv
66,Universidad de Br\xc3\x83\xc2\xadstol
68,Universidad de California, Irvine
70,Universidad de Oxford
72,Universidad de Teher\xc3\x83\xc2\xa1n
74,Instituto Polit\xc3\x83\xc2\xa9cnico y Universidad Estatal de Virginia
76,Universidad de Aalborg
78,Universidad de Columbia
80,Universidad Johns Hopkins
82,Instituto Real de Tecnolog\xc3\x83\xc2\xada
84,Universidad de Link\xc3\x83\xc2\xb6ping
86,Universidad de Pek\xc3\x83\xc2\xadn
88,Instituto Polit\xc3\x83\xc2\xa9cnico de Mil\xc3\x83\xc2\xa1n
90,Universidad de Hong Kong
92,Universidad de Queensland
94,Escuela Universitaria de Londres
96,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
98,Universidad de Massachusetts Amherst
100,Universidad de Tennessee - Knoxville 
