1,Universidad de Harvard
3,Universidad de Washington
5,Universidad de Stanford
7,Universidad de Columbia
9,Centro M\xc3\x83\xc2\xa9dico Suroccidental de la Universidad de Texas en Dallas
11,Universidad de Yale
13,Universidad de Carolina del Norte en Chapel Hill
15,Universidad de Oxford
17,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
19,Universidad de Vanderbilt
21,Centro del C\xc3\x83\xc2\xa1ncer M.D. Anderson de la Universidad de Texas
23,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
25,Universidad de Cornell
27,Universidad de California-Berkeley
29,Universidad del Noroeste
31,Universidad de Leiden
33,Universidad de Emory
35,Universidad de Chicago
37,Colegio Universitario de King de Londres
39,Universidad de \xc3\x83\xc2\x81msterdam
41,Universidad Libre de \xc3\x83\xc2\x81msterdam
43,Centro de Ciencias de la Salud de la Universidad de Texas en Houston
45,Universidad de Gotemburgo
47,Universidad de Washington en St. Louis
49,Universidad de Kioto
51,Escuela de Medicina de Baylor
53,Universidad Erasmus de Rotterdam
55,Escuela de Medicina de Icahn en el Monte Sina\xc3\x83\xc2\xad
57,Universidad de la Salud y Ciencias de Oreg\xc3\x83\xc2\xb3n
59,Universidad de Edimburgo
61,Universidad de Australia del Oeste
63,Universidad de Basilea
65,Universidad de Florida
67,Universidad de Helsinki
69,Universidad de M\xc3\x83\xc2\xbanich
71,Universidad de Par\xc3\x83\xc2\xads Sur (Paris XI)
73,Universidad del Sur de California
75,Universidad de Utrecht
77,Universidad Cat\xc3\x83\xc2\xb3lica de Lovaina
79,Universidad de Monash
81,Rutgers, Universidad Estatal New Jersey - New Brunswick
83,Universidades en Manchester
85,Universidad de Queensland
87,Centro de Ciencias de la Salud de la Universidad de Texas en San Antonio
89,Universidad de Alberta
91,Universidad de Birmingham
93,Universidad de Cincinnati
95,Universidad de Copenhague
97,Universidad de Iowa 
99,Universidad de Mil\xc3\x83\xc2\xa1n
2,Universidad de California, San Francisco
4,Universidad Johns Hopkins
6,Universidad de Cambridge 
8,Escuela Universitaria de Londres
10,Universidad de California, Los \xc3\x83\xc2\x81ngeles
12,Instituto Karolinska
14,Universidad de Pittsburgh-Campus de Pittsburgh
16,Escuela M\xc3\x83\xc2\xa9dica de Mayo
18,Universidad de Pennsylvania
20,Universidad de California, San Diego
22,Universidad de Minnesota, Twin Cities
24,Universidad de Duke
26,Universidad de Wisconsin - Madison 
28,Universidad de Toronto
30,Universidad de Boston 
32,Universidad de Melbourne
34,Universidad de Z\xc3\x83\xc2\xbarich
36,Universidad de Utah
38,Universidad de McGill
40,KU Leuven
42,Universidad de Nottingham
44,Universidad de Oslo
46,Universidad de McMaster
48,Universidad Tufts
50,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
52,Universidad de Brown
54,Universidad de Heidelberg
56,Universidad de Nueva York
58,Universidad Estatal de Ohio - Columbus
60,Universidad de Glasgow
62,Universidad de Barcelona
64,Universidad de Br\xc3\x83\xc2\xadstol
66,Universidad de Fr\xc3\x83\xc2\xa1ncfort
68,Universidad de Maryland, Baltimore
70,Universidad de Par\xc3\x83\xc2\xads Descartes (Par\xc3\x83\xc2\xads V)
72,Universidad de Rochester
74,Universidad de Upsala
76,Universidad Occidental de la Reserva del Caso
78,Universidad de Maastricht
80,Queen Mary, Universidad de Londres 
82,Universidad de Adelaida
84,Universidad de Nueva Gales del Sur 
86,Universidad de Sheffield
88,Universidad de Tokio
90,Universidad de Bern
92,Universidad de California, Davis
94,Universidad de Colorado en Denver
96,Universidad de Groningen
98,Escuela de Medicina de la Universidad de Massachusetts - Worcester
100,Universidad de Wake Forest
