1,Universidad de California-Berkeley
3,Universidad de Princeton
5,Instituto de Tecnolog\xc3\x83\xc2\xada de California
7,Universidad de Cambridge 
9,Universidad de Tokio
11,Universidad de California, Los \xc3\x83\xc2\x81ngeles
13,Universidad de Columbia
15,Universidad de Cornell
17,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
19,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
21,Universidad Johns Hopkins
23,Universidad de Par\xc3\x83\xc2\xads Sur (Paris XI)
25,Universidad de Wisconsin - Madison 
27,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
29,Universidad de Pennsylvania
31,Universidad de Maryland, College Park
33,Universidad de Ginebra
35,Universidad de Nagoya
37,Universidad de Edimburgo
39,Universidad de Heidelberg
41,Universidad de Texas A&M
43,Universidad de Pek\xc3\x83\xc2\xadn
45,Universidad de Utrecht
47,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Lausana
49,Universidad de Purdue - Lafayette del Oeste
51,Universidad Carnegie Mellon
53,Universidad de Durham
55,Universidad Rey Abdulaziz
57,Universidad de Osaka
59,Universidad T\xc3\x83\xc2\xa9cnica de M\xc3\x83\xc2\xbanich
61,Universidad Nacional Australiana
63,Universidad Estatal de Ohio - Columbus
65,Universidad de Bonn
67,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
69,Universidad de California, Santa Cruz
71,Universidad de Massachusetts Amherst
73,Universidad de Estrasburgo
75,Instituto Weizmann de Ciencias
77,Universidad Aix-Marseille
79,Universidad de Boston 
81,Universidad Estatal de Iowa
83,Instituto Tecnol\xc3\x83\xc2\xb3gico de Karlsruhe
85,Universidad RWTH Aachen
87,Instituto Tecnol\xc3\x83\xc2\xb3gico de Tokio
89,Universidad de Bern
91,University of California, Riverside
93,Universidad de Hawaii en Manoa
95,Universidad de M\xc3\x83\xc2\xbcnster
97,Universidad de Tennessee - Knoxville 
99,Universidad de Z\xc3\x83\xc2\xbarich
2,Universidad de Harvard
4,Universidad de Stanford
6,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
8,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Z\xc3\x83\xc2\xbarich
10,Universidad de Colorado en Boulder 
12,Universidad de Oxford
14,Universidad Pierre y Marie Curie - Par\xc3\x83\xc2\xads VI
16,Universidad de Chicago
18,Universidad de Kioto
20,Universidad del Noroeste
22,Universidad de Yale
24,Universidad de Washington
26,Universidad de California, San Diego
28,Universidad de Texas en Austin
30,Universidades en Manchester
32,Universidad de California, Irvine
34,Universidad de Minnesota, Twin Cities
36,Universidad de Illinois en Urbana-Champaign
38,Universidad de Toronto
40,Universidad Rice
42,Universidad Estatal de Pensilvania - University Park
44,Universidad de M\xc3\x83\xc2\xbanich
46,Instituto de Tecnolog\xc3\x83\xc2\xada de Georgia
48,Universidad de Arizona
50,Universidad de Tohoku
52,Universidad de Duke
54,Escuela Normal Superior de Paris
56,Universidad Estatal de Mosc\xc3\x83\xc2\xba
58,Rutgers, Universidad Estatal New Jersey - New Brunswick
60,Technion-Instituto Tecnol\xc3\x83\xc2\xb3gico de Israel
62,Universidad Hebrea de Jerusal\xc3\x83\xc2\xa9n
64,Escuela Universitaria de Londres
66,Universidad de Br\xc3\x83\xc2\xadstol
68,Universidad de California, Davis
70,Universidad de Copenhague
72,Universidad de Ciencias y Tecnolog\xc3\x83\xc2\xada de China
74,Universidad de Warwick
76,Universidad de Aarhus
78,Universidad Aut\xc3\x83\xc2\xb3noma de Madrid
80,Universidad de Brown
82,Universidad Joseph Fourier de Grenoble
84,Universidad de Nueva York
86,Universidad Nacional de Se\xc3\x83\xc2\xbal
88,Universidad de Tsinghua
90,Universidad de Bolonia
92,Universidad de Florida
94,Universidad de Helsinki
96,Universidad de Southampton
98,Universidad de Wurzburgo
100,Universidad de Paris Diderot - Paris VII
