1,Universidad de Harvard
3,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
5,Universidad de Columbia
7,Universidad de Stanford
9,Universidad de Nueva York
11,Universidad de Minnesota, Twin Cities
13,Escuela de Econom\xc3\x83\xc2\xada y Ciencia Pol\xc3\x83\xc2\xadtica de Londres
15,Universidad Carnegie Mellon
17,Universidad de Duke
19,Universidad de California, San Diego
21,Universidad de Cornell
23,Universidad de Maryland, College Park
25,Universidad de Toronto
27,Universidad Estatal de Ohio - Columbus
29,Universidad Erasmus de Rotterdam
31,Universidad del Sur de California
33,Universidad de Carolina del Norte en Chapel Hill
35,Toulouse School of Economics
37,Universidad de Alberta
39,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
41,Universidad de Texas en Dallas
43,Escuela de Negocios de Londres
45,Universidad de Boston 
47,Universidad de George Mason
49,Escuela Universitaria de Londres
51,Universidad de Brown
53,Instituto de Tecnolog\xc3\x83\xc2\xada de Georgia
55,Universidad de McGill
57,Universidad Pompeu Fabra
59,Universidad Rice
61,Universidad de Temple
63,Universidades en Manchester
65,Universidad de Tilburg
67,Universidad de Arkansas en Fayetteville
69,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
71,Universidad de Miami
73,Universidad de Carolina del Sur - Colombia
75,Universidad de Vanderbilt
77,Boston College
79,Universidad de Georgetown
81,Universidad de Monash
83,Universidad de Tel Aviv
85,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
87,Universidad de \xc3\x83\xc2\x81msterdam
89,Universidad de California, Davis
91,Universidad de Anglia del Este
93,Universidad de Groningen
95,Universidad de Montreal
97,Universidad de Oslo
99,Universidad de Virginia
2,Universidad de Chicago
4,Universidad de California-Berkeley
6,Universidad de Princeton
8,Universidad de Pennsylvania
10,Universidad del Noroeste
12,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
14,Universidad de Yale
16,Universidad de California, Los \xc3\x83\xc2\x81ngeles
18,Universidad de Cambridge 
20,Universidad de Oxford
22,Universidad Estatal de Arizona
24,Universidad de Washington
26,Universidad Estatal de Pensilvania - University Park
28,Universidad de Texas A&M
30,Universidad de Indiana Bloomington
32,Universidad de Dartmouth
34,Universidad de Warwick
36,Universidad de Texas en Austin
38,Instituto Europeo de Administraci\xc3\x83\xc2\xb3n de los Negocios
40,Universidad de Illinois en Urbana-Champaign
42,Universidad de Washington en St. Louis
44,Universidad de Wisconsin - Madison 
46,Instituto de Tecnolog\xc3\x83\xc2\xada de California
48,Universidad Estatal de M\xc3\x83\xc2\xadchigan
50,Universidad de Ciencia y Tecnolog\xc3\x83\xc2\xada de Hong Kong
52,Universidad de Emory
54,Universidad Johns Hopkins
56,Universidad Nacional de Singapur
58,Universidad de Purdue - Lafayette del Oeste
60,Rutgers, Universidad Estatal New Jersey - New Brunswick
62,Universidad Hebrea de Jerusal\xc3\x83\xc2\xa9n
64,Universidad de Melbourne
66,Universidad de Arizona
68,Universidad de California, Irvine
70,Universidad de Colorado en Boulder 
72,Universidad de Pittsburgh-Campus de Pittsburgh
74,Universidad de Z\xc3\x83\xc2\xbarich
76,Universidad de Aarhus
78,Escuela de Negocios de Copenhague
80,Universidad de McMaster
82,Universidad Simon Fraser
84,Universidad China de Hong Kong
86,Universidad de Nueva Gales del Sur 
88,Universidad de Bonn
90,Universidad de Copenhague
92,Universidad de Florida
94,Universidad de Houston
96,Universidad de Notre Dame
98,Universidad de Rochester
100,Universidad Libre de \xc3\x83\xc2\x81msterdam
