1,Universidad de Harvard
3,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
5,Universidad de California-Berkeley
7,Universidad de Princeton
9,Universidad de Pennsylvania
11,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
13,Universidad de Oxford
15,Universidad de Minnesota, Twin Cities
17,Universidad de Duke
19,Universidad Carnegie Mellon
21,Universidad de Carolina del Norte en Chapel Hill
23,Universidad Estatal de Ohio - Columbus
25,Universidad de Maryland, College Park
27,Universidad de Washington
29,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
31,Universidad del Sur de California
33,Universidad de Wisconsin - Madison 
35,Universidad de Indiana Bloomington
37,Universidad de \xc3\x83\xc2\x81msterdam
39,Universidad de Illinois en Urbana-Champaign
41,Escuela Universitaria de Londres
43,Universidad Libre de \xc3\x83\xc2\x81msterdam
45,Universidad de California, Irvine
47,Universidad de Arizona
49,Universidad de Melbourne
51,Universidad de Aarhus
53,Universidad de Brown
55,Universidad de Georgetown
57,Escuela de Negocios de Londres
59,Universidad de McMaster
61,Rutgers, Universidad Estatal New Jersey - New Brunswick
63,Universidad de Georgia
65,Universidad de Alberta
67,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
69,Universidad de Florida
71,Universidad de Miami
73,Universidad de Virginia
75,Universidad de Utrecht
77,Universidad de Emory
79,Universidad de Maastricht
81,Universidad Nacional de Singapur
83,Universidad de Tel Aviv
85,Universidad Nacional Australiana
87,Universidad de Ciencia y Tecnolog\xc3\x83\xc2\xada de Hong Kong
89,Universidad de Queensland
91,Universidad de Tilburg
93,Universidad de Copenhague
95,Universidad de Groningen
97,Universidad de Oslo
99,Universidad de Carolina del Sur - Colombia
2,Universidad de Chicago
4,Universidad de Columbia
6,Universidad de Stanford
8,Universidad de Nueva York
10,Universidad de Yale
12,Escuela de Econom\xc3\x83\xc2\xada y Ciencia Pol\xc3\x83\xc2\xadtica de Londres
14,Universidad del Noroeste
16,Universidad de California, Los \xc3\x83\xc2\x81ngeles
18,Universidad de Cambridge 
20,Universidad de Texas en Austin
22,Universidad Estatal de Pensilvania - University Park
24,Universidad Estatal de Arizona
26,Universidad de California, San Diego
28,Universidad de Cornell
30,Universidad de Toronto
32,Universidad de Washington en St. Louis
34,Universidad de Vanderbilt
36,Universidad de Texas A&M
38,Universidad Estatal de M\xc3\x83\xc2\xadchigan
40,Universidad de Dartmouth
42,Universidad de Warwick
44,Universidad Erasmus de Rotterdam
46,Universidad de George Mason
48,Universidad Johns Hopkins
50,Universidades en Manchester
52,Universidad de Boston 
54,Universidad Estatal de Florida
56,KU Leuven
58,Universidad de McGill
60,Universidad de Purdue - Lafayette del Oeste
62,Universidad Hebrea de Jerusal\xc3\x83\xc2\xa9n
64,Universidad de Texas en Dallas
66,Universidad de California, Davis
68,Universidad de Colorado en Boulder 
70,Universidad de Illinois en Chicago
72,Universidad de Pittsburgh-Campus de Pittsburgh
74,Universidad de Z\xc3\x83\xc2\xbarich
76,Escuela de Negocios de Copenhague
78,Instituto de Tecnolog\xc3\x83\xc2\xada de Georgia
80,Universidad de Monash
82,Universidad Simon Fraser
84,Universidad de Temple
86,Universidad Polit\xc3\x83\xc2\xa9cnica de Hong Kong
88,Universidad de Edimburgo
90,Universidad de Sheffield
92,Universidad de Arkansas en Fayetteville
94,Universidad de Essex
96,Universidad de Montreal
98,Universidad de Rochester
100,Universidad de S\xc3\x83\xc2\xaddney
