1,Ludwig Maximilians Universit\xc3\xa4t M\xc3\xbcnchen
3,Technische Universit\xc3\xa4t M\xc3\xbcnchen
5,Universit\xc3\xa4t Hamburg
7,Rheinische Friedrich Wilhelms Universit\xc3\xa4t Bonn
9,Technische Universit\xc3\xa4t Dresden
11,Universit\xc3\xa4t Freiburg
13,Georg-August-Universit\xc3\xa4t G\xc3\xb6ttingen
15,Universit\xc3\xa4t Tubingen
17,Johannes Gutenberg Universit\xc3\xa4t Mainz
19,Universit\xc3\xa4t W\xc3\xbcrzburg
21,Christian Albrechts Universit\xc3\xa4t zu Kiel
23,Universit\xc3\xa4t Stuttgart
25,Friedrich Schiller Universit\xc3\xa4t Jena
27,Technische Universit\xc3\xa4t Darmstadt
29,Heinrich Heine Universit\xc3\xa4t D\xc3\xbcsseldorf
31,Universit\xc3\xa4t Hannover
33,Justus Liebig Universit\xc3\xa4t Giessen
35,Universit\xc3\xa4t des Saarlandes
37,Universit\xc3\xa4t Bielefeld
39,Martin Luther Universit\xc3\xa4t Halle Wittenberg
41,Universit\xc3\xa4t Bayreuth
43,Technische Universit\xc3\xa4t Kaiserslautern
45,Medizinische Hochschule Hannover
47,Universit\xc3\xa4t Mannheim
49,Ernst Moritz Arndt Universit\xc3\xa4t Greifswald
51,Universit\xc3\xa4t Siegen
53,Bergische Universit\xc3\xa4t Wuppertal
55,Universit\xc3\xa4t Hohenheim
57,Universit\xc3\xa4t zu Lubeck
59,Universit\xc3\xa4t Osnabruck
61,Technische Universit\xc3\xa4t Hamburg Harburg
63,Jacobs University Bremen
65,Universit\xc3\xa4t Passau
67,International Max Planck Research School for Astronomy and Cosmic Physics at the University of Heidelberg
69,Bauhaus Universit\xc3\xa4t Weimar
71,Universit\xc3\xa4t Witten Herdecke
73,FernUniversit\xc3\xa4t in Hagen
75,Stiftung Tier\xc3\xa4rztliche Hochschule Hannover
77,Deutsche Sporthochschule K\xc3\xb6ln
79,Hochschule f\xc3\xbcr Angewandte Wissenschaften Hamburg
81,Universit\xc3\xa4t Erfurt
83,Europa Universit\xc3\xa4t Viadrina Frankfurt Oder
85,Katholische Universit\xc3\xa4t Eichst\xc3\xa4tt Ingolstadt
87,Universit\xc3\xa4t Koblenz Landau
89,Fachhochschule M\xc3\xbcnster
91,Hochschule Osnabr\xc3\xbcck
93,Hochschule Karlsruhe
95,Hochschule Reutlingen
97,Hochschule Fulda
99,Hochschule Mannheim
2,Ruprecht Karls Universit\xc3\xa4t Heidelberg
4,Rheinisch Westfalische Technische Hochschule Aachen
6,Karlsruhe Institute of Technology (Universit\xc3\xa4t Karlsruhe)
8,Freie Universit\xc3\xa4t Berlin
10,Humboldt Universit\xc3\xa4t zu Berlin
12,Technische Universit\xc3\xa4t Berlin
14,Universit\xc3\xa4t M\xc3\xbcnster
16,Universit\xc3\xa4t zu K\xc3\xb6ln
18,Universit\xc3\xa4t Leipzig
20,(1) Friedrich Alexander Universit\xc3\xa4t Erlangen N\xc3\xbcrnberg FAU
22,Charit\xc3\xa9 Universit\xc3\xa4tsmedizin Berlin
24,Universit\xc3\xa4t Duisburg Essen
26,Ruhr Universit\xc3\xa4t Bochum
28,Universit\xc3\xa4t Bremen
30,Universit\xc3\xa4t Ulm
32,Philipps Universit\xc3\xa4t Marburg
34,Universit\xc3\xa4t Regensburg
36,Universit\xc3\xa4t Potsdam
38,Universit\xc3\xa4t Konstanz
40,Technische Universit\xc3\xa4t Dortmund
42,Universit\xc3\xa4t Rostock
44,Carl Von Ossietzky Universit\xc3\xa4t Oldenburg
46,Technische Universit\xc3\xa4t Chemnitz
48,(1) Otto Von Guericke Universit\xc3\xa4t Magdeburg
50,(2) Universit\xc3\xa4t Trier
52,Technische Universit\xc3\xa4t Braunschweig
54,Universit\xc3\xa4t Kassel
56,Universit\xc3\xa4t Paderborn
58,Universit\xc3\xa4t Augsburg
60,Technische Universit\xc3\xa4t Ilmenau
62,Leuphana Universit\xc3\xa4t L\xc3\xbcneburg
64,Universit\xc3\xa4tsmedizin Mainz
66,Technische Universit\xc3\xa4t Bergakademie Freiberg
68,Technische Universit\xc3\xa4t Clausthal
70,Universit\xc3\xa4t Otto Friedrich Universit\xc3\xa4t Bamberg
72,Hasso Plattner Institute
74,Brandenburgische Technische Universit\xc3\xa4t Cottbus
76,Universit\xc3\xa4t der Bundeswehr M\xc3\xbcnchen
78,Helmut Schmidt Universit\xc3\xa4t
80,Otto Beisheim Graduate School of Management
82,Technische Hochschule K\xc3\xb6ln / TH K\xc3\xb6ln University of Applied Sciences
84,Universit\xc3\xa4t Hildesheim
86,Hochschule Furtwangen
88,Hertie School of Governance
90,Hochschule f\xc3\xbcr Technik und Wirtschaft Berlin
92,Hochschule Darmstadt
94,Beuth Hochschule f\xc3\xbcr Technik Berlin
96,Hochschule fur Wirtschaft und Recht Berlin
98,Hochschule Augsburg
100,International Max Planck Research School for Astronomy and Astrophysics
