1,Universidad San Francisco de Quito
3,Pontificia Universidad Cat\xc3\xb3lica del Ecuador
5,Escuela Polit\xc3\xa9cnica Nacional
7,Universidad de Cuenca
9,Universidad Central del Ecuador
11,Universidad del Azuay
13,Universidad Estatal Pen\xc3\xadnsula de Santa Elena
15,FLACSO Ecuador Facultad Latinoamericana de Ciencias Sociales
17,Universidad Nacional de Loja
19,Universidad de Especialidades Esp\xc3\xadritu Santo
21,Universidad Nacional de Chimborazo
23,Universidad de Guayaquil
25,Universidad Cat\xc3\xb3lica de Santiago de Guayaquil
27,Universidad Metropolitana del Ecuador
29,Universidad Laica Eloy Alfaro de Manabi
31,Yachay Tech
33,Universidad Internacional del Ecuador
35,Universidad Particular Internacional SEK
37,Universidad Cat\xc3\xb3lica de Cuenca
39,Universidad Laica Vicente Rocafuerte de Guayaquil
41,Escuela Superior Polit\xc3\xa9cnica Agropecuaria de Manab\xc3\xad
43,Universidad Estatal del Sur de Manab\xc3\xad UNESUM
45,Universidad T\xc3\xa9cnica de Cotopaxi
47,Universidad Regional Aut\xc3\xb3noma de los Andes UNIANDES
49,Universidad Agraria del Ecuador
51,Universidad Tecnol\xc3\xb3gica ECOTEC
53,Universidad Polit\xc3\xa9cnica Estatal del Carchi UPEC
55,Universidad Tecnol\xc3\xb3gica Israel
57,Universidad de Otavalo
59,Pontificia Universidad Cat\xc3\xb3lica de Ecuador Sede Santo Domingo
61,Universidad de Especialidades Turisticas
2,Escuela Superior Polit\xc3\xa9cnica del Litoral
4,Universidad T\xc3\xa9cnica Particular de Loja
6,Universidad de las Fuerzas Armadas ESPE (Escuela Polit\xc3\xa9cnica del Ej\xc3\xa9rcito)
8,Universidad Polit\xc3\xa9cnica Salesiana Ecuador
10,Universidad T\xc3\xa9cnica de Ambato
12,Universidad Andina Sim\xc3\xb3n Bol\xc3\xadvar Ecuador
14,Universidad de las Am\xc3\xa9ricas Ecuador
16,Escuela Superior Polit\xc3\xa9cnica de Chimborazo
18,Universidad Tecnol\xc3\xb3gica Equinoccial
20,Universidad Particular San Gregorio de Portoviejo USGP
22,Universidad T\xc3\xa9cnica del Norte
24,Universidad Estatal Amaz\xc3\xb3nica
26,Instituto de Altos Estudios Nacionales
28,Universidad T\xc3\xa9cnica de Machala
30,Universidad Tecnol\xc3\xb3gica Indoam\xc3\xa9rica
32,Universidad T\xc3\xa9cnica Estatal de Quevedo
34,Universidad Estatal de Milagro
36,Universidad T\xc3\xa9cnica de Manab\xc3\xad
38,Universidad Estatal de Bol\xc3\xadvar
40,Universidad Casa Grande
42,Universidad de los Hemisferios
44,Pontificia Universidad Cat\xc3\xb3lica Sede Ibarra
46,Universidad del Pac\xc3\xadfico Escuela de Negocios
48,Universidad T\xc3\xa9cnica de Babahoyo
50,Universidad T\xc3\xa9cnica Luis Vargas Torres de Esmeraldas
52,Pontificia Universidad Cat\xc3\xb3lica del Ecuador Sede Ambato
54,Universidad Santa Mar\xc3\xada de Chile Campus Guayaquil
56,Universidad Tecnol\xc3\xb3gica Empresarial de Guayaquil
58,Escuela de Direccion de Empresas
60,Universidad Iberoamericana del Ecuador
62,Universidad Internacional de La Rioja Ecuador
