1,United Arab Emirates University
3,University of Sharjah
5,Higher Colleges of Technology
7,University of Wollongong in Dubai
9,American University in Dubai
11,British University in Dubai
13,Hamdan Bin Mohammed Smart University
15,Al Ain University of Science & Technology
17,Alhosn University
19,Al Falah University
21,Manipal University Dubai Campus
23,Emirates College for Advanced Education
25,Khalifa University
27,Al Khawarizmi International College
29,Amity University Dubai
31,RAK Medical & Health Sciences University College of Dental Sciences
33,Mohamed Bin Rashid School of Government
35,Abu Dhabi Polytechnic
37,Paris Sorbonne University Abu Dhabi
39,Dubai Medical College for Girls
41,University of Modern Sciences (Biotechnology University College)
43,Allied Institute of Management Studies
45,American College of Dubai
47,Murdoch University Dubai
49,Emirates Institute for Banking and Financial Studies
51,Aldar University in Dubai
53,College of Islamic and Arabic Studies Dubai
55,MENA College of Management
57,Abu Dhabi School of Management
59,American College of Dubai
61,Emirates Canadian University College
63,Saint-Petersburg State Economic University Dubai Branch
2,American University of Sharjah
4,Zayed University
6,Abu Dhabi University
8,Ajman University
10,American University of Ras al Khaimah AURAK
12,Gulf Medical University
14,Canadian University of Dubai
16,Middlesex University Dubai Campus
18,University of Dubai
20,American University in the Emirates
22,Skyline University College
24,Al Ghurair University
26,Institute of Management Technology Dubai
28,Dubai Pharmacy College
30,Shaheed Zulfikar Ali Bhutto Institute of Science & Technology Dubai Campus
32,Emirates Academy of Hospitality Management
34,RAK College of Dental Sciences
36,Fatima College of Health Sciences
38,Jumeira University
40,Emirates College of Technology
42,Emirates Aviation University
44,Birla Institute of Technology Ras Al Khaimah
46,City University College of Ajman
48,Emirates College for Management & Information Technology ECMIT
50,Al Jazeera University UAE
52,Mohammed Bin Rashid University of Medicine and Health Sciences
54,European International College
56,College of Fashion and Design CFD Dubai
58,Centre for Executive Education
60,Al Qasimia University
62,Islamic Azad University Dubai Branch
