1,Universidad de Buenos Aires
3,Universidad Nacional de C\xc3\xb3rdoba
5,Universidad Nacional del Litoral
7,Universidad Tecnol\xc3\xb3gica Nacional
9,Universidad Nacional de San Mart\xc3\xadn Argentina
11,Universidad Nacional de Tucum\xc3\xa1n
13,Universidad Nacional del Comahue
15,Universidad Nacional del Nordeste
17,Pontificia Universidad Cat\xc3\xb3lica Argentina
19,Universidad Nacional de Salta
21,Universidad Nacional de Cuyo Mendoza
23,Universidad Nacional de la Patagonia San Juan Bosco
25,Universidad de San Andr\xc3\xa9s Buenos Aires
27,Universidad Austral
29,Universidad Nacional de General Sarmiento
31,Instituto Balseiro
33,Universidad Nacional de Rio Negro
35,Universidad Favaloro
37,Universidad Nacional de Luj\xc3\xa1n
39,Universidad de Belgrano
41,(1) Universidad Maim\xc3\xb3nides
43,Instituto Universitario CEMIC
45,Universidad Abierta Interamericana
47,Universidad Nacional de Villa Mar\xc3\xada
49,Universidad de la Punta
51,Universidad Nacional de Lomas de Zamora
53,Universidad Nacional de la Matanza
55,Universidad Nacional del Noroeste de la Provincia de Buenos Aires
57,Universidad Blas Pascal
59,Universidad Nacional de Formosa
61,Universidad de Mendoza
63,Universidad de Flores
65,Universidad del Norte Santo Tom\xc3\xa1s de Aquino
67,Universidad Juan Agustin Maza
69,Universidad Nacional Arturo Jauretche
71,Universidad de la Cuenca del Plata
73,Instituto Universitario de Ciencias de la Salud Barcel\xc3\xb3
75,Universidad Nacional de las Artes
77,Universidad Cat\xc3\xb3lica de Santa Fe
79,Universidad del Museo Social Argentino
81,Colegio Universitario IES Siglo 21
83,Vaneduc Universidad Abierta Interamericana
85,Universidad del Cine
87,Instituto Sabato
89,Universidad Virtual de Quilmes
91,Universidad Cat\xc3\xb3lica de la Plata
93,Universidad Nacional de Moreno
95,Universidad del Centro Educativo Latinoamericano
97,Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires
99,Universidad Champagnat Mendoza
2,Universidad Nacional de la Plata
4,Universidad Nacional de Rosario
6,Universidad Nacional de Mar del Plata
8,Universidad Nacional del Centro de la Provincia de Buenos Aires
10,Universidad Nacional del Sur
12,Universidad Nacional de Quilmes
14,Universidad Nacional de San Luis
16,Universidad Nacional de R\xc3\xado Cuarto
18,Universidad Torcuato di Tella
20,Universidad Nacional de San Juan
22,Universidad de Palermo Argentina
24,Universidad Nacional de Santiago del Estero
26,Universidad Nacional de Misiones
28,Universidad Nacional de la Pampa
30,Instituto Tecnol\xc3\xb3gico de Buenos Aires
32,Universidad Nacional de Entre R\xc3\xados
34,Facultad Latinoamericana de Ciencias Sociales Argentina
36,Universidad del Salvador Buenos Aires
38,Universidad Nacional Tres de Febrero
40,Universidad Nacional de Lan\xc3\xbas
42,Universidad Cat\xc3\xb3lica de C\xc3\xb3rdoba
44,Universidad Nacional de Jujuy
46,Universidad Fasta Mar del Plata
48,Universidad Argentina de la Empresa
50,Universidad Nacional de Catamarca
52,Universidad Argentina John F Kennedy
54,Universidad Nacional de la Patagonia Austral
56,IAE Business School
58,Universidad Nacional de la Rioja
60,Universidad Aut\xc3\xb3noma de Entre R\xc3\xados
62,Universidad del Cema
64,Universidad de Mor\xc3\xb3n
66,Universidad Empresarial Siglo 21
68,Universidad de Ciencias Empresariales y Sociales
70,Universidad Cat\xc3\xb3lica de Salta
72,Universidad ISALUD
74,Universidad Nacional de Chilecito
76,Universidad Cat\xc3\xb3lica de Santiago del Estero
78,Universidad Adventista del Plata
80,Instituto Universitario Aeron\xc3\xa1utico
82,Universidad de Congreso
84,Universidad Nacional del Chaco Austral
86,Universidad Caece
88,Escuela Superior de Economia y Administraci\xc3\xb3n de Empresas
90,Universidad del Aconcagua
92,IPLAN
94,Universidad Nacional de Concepci\xc3\xb3n del Uruguay
96,Instituto de Ense\xc3\xb1anza Superior del Ej\xc3\xa9rcito
98,Universidad de la Marina Mercante
100,Universidad Gast\xc3\xb3n Dachary
