1,Tsinghua University / \xe6\xb8\x85\xe5\x8d\x8e\xe5\xa4\xa7\xe5\xad\xa6
3,National University of Singapore
5,University of Tokyo / \xe6\x9d\xb1\xe4\xba\xac\xe5\xa4\xa7\xe5\xad\xa6
7,Shanghai Jiao Tong University / \xe4\xb8\x8a\xe6\xb5\xb7\xe4\xba\xa4\xe9\x80\x9a\xe5\xa4\xa7\xe5\xad\xa6
9,Kyoto University / \xe4\xba\xac\xe9\x83\xbd\xe5\xa4\xa7\xe5\xad\xa6
11,Fudan University (Shanghai Medical University) / \xe5\xa4\x8d\xe6\x97\xa6\xe5\xa4\xa7\xe5\xad\xa6
13,University of Science & Technology of China / \xe4\xb8\xad\xe5\x9b\xbd\xe7\xa7\x91\xe5\xad\xa6\xe6\x8a\x80\xe6\x9c\xaf\xe5\xa4\xa7\xe5\xad\xa6
15,(2) Tel Aviv University
17,Osaka University / \xe5\xa4\xa7\xe9\x98\xaa\xe5\xa4\xa7\xe5\xad\xa6
19,Huazhong University of Science & Technology / \xe5\x8d\x8e\xe4\xb8\xad\xe7\xa7\x91\xe6\x8a\x80\xe5\xa4\xa7\xe5\xad\xa6
21,Hebrew University of Jerusalem
23,Harbin Institute of Technology / \xe5\x93\x88\xe5\xb0\x94\xe6\xbb\xa8\xe5\xb7\xa5\xe4\xb8\x9a\xe5\xa4\xa7\xe5\xad\xa6
25,City University of Hong Kong
27,An Jiaotong University / \xe8\xa5\xbf\xe5\xae\x89\xe4\xba\xa4\xe9\x80\x9a\xe5\xa4\xa7\xe5\xad\xa6"
29,Hong Kong Polytechnic University
31,(1) Yonsei University / \xec\x97\xb0\xec\x84\xb8\xeb\x8c\x80\xed\x95\x99\xea\xb5\x90
33,Xiamen University / \xe5\x8e\xa6\xe9\x97\xa8\xe5\xa4\xa7\xe5\xad\xa6
35,Sichuan University / \xe5\x9b\x9b\xe5\xb7\x9d\xe5\xa4\xa7\xe5\xad\xa6
37,Technion Israel Institute of Technology
39,Beijing Normal University / \xe5\x8c\x97\xe4\xba\xac\xe5\xb8\x88\xe8\x8c\x83\xe5\xa4\xa7\xe5\xad\xa6
41,(1) Korea University / \xea\xb3\xa0\xeb\xa0\xa4\xeb\x8c\x80\xed\x95\x99\xea\xb5\x90
43,National Cheng Kung University
45,Kyushu University / \xe4\xb9\x9d\xe5\xb7\x9e\xe5\xa4\xa7\xe5\xad\xa6
47,Tokyo Institute of Technology / \xe6\x9d\xb1\xe4\xba\xac\xe5\xb7\xa5\xe6\xa5\xad\xe5\xa4\xa7\xe5\xad\xa6
49,Hokkaido University / \xe5\x8c\x97\xe6\xb5\xb7\xe9\x81\x93\xe5\xa4\xa7\xe5\xad\xa6
51,Keio University / \xe6\x85\xb6\xe5\xbf\x9c\xe7\xbe\xa9\xe5\xa1\xbe\xe5\xa4\xa7\xe5\xad\xa6
53,University of Tsukuba / \xe7\xad\x91\xe6\xb3\xa2\xe5\xa4\xa7\xe5\xad\xa6
55,Dalian University of Technology / \xe5\xa4\xa7\xe8\xbf\x9e\xe7\x90\x86\xe5\xb7\xa5\xe5\xa4\xa7\xe5\xad\xa6
57,Beijing Institute of Technology / \xe5\x8c\x97\xe4\xba\xac\xe7\x90\x86\xe5\xb7\xa5\xe5\xa4\xa7\xe5\xad\xa6
59,University of Tehran
61,East China Normal University / \xe5\x8d\x8e\xe4\xb8\x9c\xe5\xb8\x88\xe8\x8c\x83\xe5\xa4\xa7\xe5\xad\xa6
63,Ben Gurion University of the Negev
65,China Agricultural University / \xe4\xb8\xad\xe5\x9b\xbd\xe5\x86\x9c\xe4\xb8\x9a\xe5\xa4\xa7\xe5\xad\xa6
67,(1) Sungkyunkwan University / \xec\x84\xb1\xea\xb7\xa0\xea\xb4\x80\xeb\x8c\x80\xed\x95\x99\xea\xb5\x90
