1,Universit\xc3\xa0 degli Studi di Roma La Sapienza
3,Universit\xc3\xa0 degli Studi di Padova
5,Universit\xc3\xa0 di Pisa (Universit\xc3\xa0 degli Studi di Pisa)
7,Politecnico di Milano
9,Universit\xc3\xa0 degli Studi di Firenze
11,Universit\xc3\xa0 degli Studi di Trento
13,Politecnico di Torino
15,Universit\xc3\xa0 degli Studi di Catania
17,Universit\xc3\xa0 degli Studi di Bari Aldo Moro
19,Universit\xc3\xa0 della Calabria (Universit\xc3\xa0 degli Studi della Calabria)
21,Universit\xc3\xa0 degli Studi di Parma
23,Universit\xc3\xa0 degli Studi Roma Tre
25,Universit\xc3\xa0 degli Studi di Salerno
27,Universit\xc3\xa0 degli Studi di Ferrara
29,Universit\xc3\xa0 degli Studi di Udine
31,Universit\xc3\xa0 degli Studi di Brescia
33,Scuola Normale Superiore di Pisa
35,Universit\xc3\xa0 degli Studi di Messina
37,Seconda Universit\xc3\xa0 degli Studi di Napoli
39,Libera Universit\xc3\xa0 di Bolzano / Freie Universit\xc3\xa4t Bozen / Free University of Bozen
41,Annunzio Chieti e Pescara"
43,Universit\xc3\xa0 degli Studi di Cassino
45,Universit\xc3\xa0 degli Studi di Sassari
47,Universit\xc3\xa0 degli Studi di Urbino Carlo Bo
49,Universit\xc3\xa0 degli Studi di Bergamo
51,Universit\xc3\xa0 degli Studi del Piemonte Orientale Amedeo Avogadro
53,Universit\xc3\xa0 degli Studi della Tuscia
55,Anna SSSUP di Pisa"
57,Universit\xc3\xa0 degli Studi di Napoli Parthenope (Istituto Universitario Navale)
59,Universit\xc3\xa0 Vita Salute San Raffaele
61,Universita degli Studi Magna Graecia di Catanzaro
63,Universit\xc3\xa0 Campus Bio Medico di Roma
65,Universit\xc3\xa0 degli Studi di Teramo
67,Universit\xc3\xa0 di Macerata (Universit\xc3\xa0 degli Studi di Macerata)
69,Universit\xc3\xa0 di Roma LUMSA (Libera Universit\xc3\xa0 Maria SS Assunta)
71,Universit\xc3\xa0 per Stranieri di Perugia
73,Libera Universit\xc3\xa0 Internazionale degli Studi Sociali Guido Carli LUISS
75,Libera Universit\xc3\xa0 di Lingue e Comunicazione (IULM Istituto universitario di lingue moderne)
77,Universit\xc3\xa0 Carlo Cattaneo (Libero istituto universitario Carlo Cattaneo LIUC)
79,Orientale (Istituto Universitario Orientale di Napoli)"
81,Universit\xc3\xa0 degli Studi Niccol\xc3\xb2 Cusano (Universit\xc3\xa0 delle Scienze Umane)
83,Universit\xc3\xa0 degli Studi Suor Orsola Benincasa Napoli
85,Pontificia Universit\xc3\xa0 Lateranense
87,Johns Hopkins University School of Advanced International Studies Bologna
89,Universit\xc3\xa0 degli Studi di Enna Kore
91,eCampus Universit\xc3\xa0 telematica
93,Istituto Marangoni Fashion and Design School
95,Aosta / Universit\xc3\xa9 de la Vall\xc3\xa9e d
97,Universit\xc3\xa0 Pontificia Salesiana
99,American Academy in Rome
2,Universit\xc3\xa0 di Bologna (Universit\xc3\xa0 degli Studi di Bologna)
4,Universit\xc3\xa0 degli Studi di Milano
6,Universit\xc3\xa0 degli Studi di Napoli Federico II
8,Universit\xc3\xa0 degli Studi di Torino
10,Universit\xc3\xa0 degli Studi di Genova
12,Universit\xc3\xa0 degli Studi di Roma Tor Vergata
14,Universit\xc3\xa0 degli Studi di Milano Bicocca
16,Universit\xc3\xa0 degli Studi di Perugia
18,Universit\xc3\xa0 Cattolica del Sacro Cuore
20,Universit\xc3\xa0 degli Studi di Palermo
22,Universit\xc3\xa0 degli Studi di Siena
24,Universit\xc3\xa0 degli Studi di Trieste
26,Universit\xc3\xa0 degli Studi di Verona
28,Universit\xc3\xa0 degli Studi di Modena e Reggio Emilia
30,Universit\xc3\xa0 degli Studi di Cagliari
32,International School for Advanced Studies / Scuola Internazionale Superiore di Studi Avanzati SISSA di Trieste
34,Universit\xc3\xa0 Polit\xc3\xa9cnica delle Marche
36, Foscari di Venezia"
38,Universit\xc3\xa0 del Salento (Universit\xc3\xa0 degli Studi di Lecce)
40,Aquila"
42,(1) Universit\xc3\xa0 Commerciale Luigi Bocconi Milano
44,European University Institute
46,Insubria Varese e Como"
48,Politecnico di Bari
50,Universit\xc3\xa0 degli Studi della Basilicata
52,Universit\xc3\xa0 degli Studi di Camerino
54,Universit\xc3\xa0 degli Studi di Pavia
56,Universit\xc3\xa0 degli Studi del Sannio
58,Universit\xc3\xa0 degli Studi di Foggia
60,Universit\xc3\xa0 degli Studi Mediterranea di Reggio Calabria
62,Universit\xc3\xa0 degli Studi del Molise
64,Universit\xc3\xa0 IUAV di Venezia (Istituto universitario di architettura di Venezia)
66,Istituto di studi avanzati di Lucca IMT
68,Universit\xc3\xa0 degli Studi Guglielmo Marconi
70,Scuola Superiore IUSS Istituto Universitario di Studi Superiori di Pavia
72,Universit\xc3\xa0 degli studi di Roma Foro Italico (Istituto Universitario di Scienze Motorie)
74,Pontificia Universit\xc3\xa0 Gregoriana / Pontifical Gregorian University
76,Pontificia Universit\xc3\xa0 della Santa Croce
78,Adige (Istituto Agrario)"
80,John Cabot University
82,Universit\xc3\xa0 di Scienze Gastronomiche Bra Colorno
84,Universit\xc3\xa0 per Stranieri di Siena
86,Universit\xc3\xa0 Telematica Internazionale UniNettuno
88,Accademia Nazionale di Santa Cecilia
90,Link Campus University
92,European School of Oncology
94,Universit\xc3\xa0 Telematica Pegaso
96,American University of Rome
98,Nuova Accademia di Belle Arti di Milano
100,Universit\xc3\xa0 Europea di Roma
