1,(2) Universidade de S\xc3\xa3o Paulo USP
3,Universidade Estadual de Campinas UNICAMP
5,Universidad de Chile
7,Universidade Estadual Paulista J\xc3\xbalio de Mesquita Filho
9,Universidade Federal de Minas Gerais UFMG
11,Pontificia Universidad Cat\xc3\xb3lica de Chile
13,Universidad Nacional de Colombia
15,Universidad de Puerto Rico
17,Universidade Federal Fluminense
19,Centro de Investigaci\xc3\xb3n y de Estudios Avanzados del IPN CINVESTAV
21,Universidade Federal da Bahia
23,Universidade Federal de Pernambuco
25,Universidad de Concepci\xc3\xb3n
27,Pontificia Universidade Cat\xc3\xb3lica do Rio de Janeiro PUC-RIO
29,Universidad de Antioquia
31,Universidade Federal de S\xc3\xa3o Carlos
33,Instituto Polit\xc3\xa9cnico Nacional
35,Universidad Aut\xc3\xb3noma Metropolitana
37,Universidade Federal do Par\xc3\xa1 UFPA
39,Pontificia Universidad Cat\xc3\xb3lica del Per\xc3\xba
41,Universidade Estadual de Maring\xc3\xa1
43,Universidad T\xc3\xa9cnica Federico Santa Mar\xc3\xada
45,Universidade Federal da Para\xc3\xadba UFPB
47,Universidade Federal de Pelotas UFPEL
49,Universidade Federal de Uberl\xc3\xa2ndia
51,Universidad Nacional de Rosario
53,Funda\xc3\xa7\xc3\xa3o Getulio Vargas FGV
55,Universidade Federal do Amazonas UFAM
57,Universidad Diego Portales
59,Universidad Andr\xc3\xa9s Bello
61,Universidade Federal de S\xc3\xa3o Jo\xc3\xa3o del Rei UFSJ
63,Universidad Aut\xc3\xb3noma del Estado de M\xc3\xa9xico
65,Universidade Estadual de Ponta Grossa UEPG
67,Universidade Federal de Lavras UFLA
69,Universidade Tecnol\xc3\xb3gica Federal do Paran\xc3\xa1 UTFPR
71,Universidad Central de Venezuela
73,Universidad Nacional del Litoral
75,Universidad Nacional de Mar del Plata
77,(3) Universidad de Puerto Rico R\xc3\xado Piedras
79,Universidad Iberoamericana
81,Universidade Federal do Rio Grande FURG
83,Universidade Federal de Ouro Preto UFOP
85,Universidad Tecnol\xc3\xb3gica Nacional
87,Universidad de Valpara\xc3\xadso
89,Universidad Nacional del Centro de la Provincia de Buenos Aires
91,Universidad Nacional de San Mart\xc3\xadn Argentina
93,Universidade Federal de Sergipe UFS
95,Universidade Federal do Maranh\xc3\xa3o
97,Universidad ICESI
99,Escuela Superior Polit\xc3\xa9cnica del Litoral
2,(2) Universidad Nacional Aut\xc3\xb3noma de M\xc3\xa9xico
4,Universidade Federal do Rio de Janeiro
6,Universidade Federal do Rio Grande do Sul UFRGS
8,Universidad de Buenos Aires
10,Universidade Federal de Santa Catarina UFSC
12,Universidad Nacional de la Plata
14,Universidade de Bras\xc3\xadlia UNB
16,Universidade Federal do Paran\xc3\xa1
18,Universidad de los Andes Colombia
20,Universidade Federal do Cear\xc3\xa1
22,Universidade Federal do Rio Grande do Norte
24,Universidade do Estado do Rio de Janeiro UERJ
26,Universidade Federal de S\xc3\xa3o Paulo UNIFESP
28,Universidade Federal de Goi\xc3\xa1s UFG
30,Universidad de Costa Rica
32,Universidad Nacional de C\xc3\xb3rdoba
34,Universidad de Guadalajara
36,Pontificia Universidad Javeriana
38,Pontificia Universidade Cat\xc3\xb3lica do Rio Grande do Sul PUCRS
40,Universidade Federal de Vi\xc3\xa7osa UFV
42,Universidade Estadual de Londrina
44,Benem\xc3\xa9rita Universidad Aut\xc3\xb3noma de Puebla
46,Universidad de Santiago de Chile
48,Universidade Federal de Juiz de Fora UFJF
50,Universidade Federal do Esp\xc3\xadrito Santo
52,Universidad Austral de Chile
54,Universidad Aut\xc3\xb3noma de Nuevo Le\xc3\xb3n
56,Universidade Federal de Campina Grande
58,Universidade Federal do ABC UFABC
60,(3) Universidad de Puerto Rico Mayaguez
62,Pontificia Universidade Cat\xc3\xb3lica do Paran\xc3\xa1 PUCPR
64,Tecnol\xc3\xb3gico de Monterrey
66,Pontificia Universidad Cat\xc3\xb3lica de Valpara\xc3\xadso
68,Universidad Aut\xc3\xb3noma de San Luis Potos\xc3\xad
70,Universidad Nacional Mayor de San Marcos
72,Universidad de los Andes M\xc3\xa9rida
74,Universidad Veracruzana
76,Universidad de Talca
78,Universidad del Rosario
80,Universidad Michoacana de San Nicol\xc3\xa1s de Hidalgo
82,Universidad de Guanajuato
84,Universidad San Francisco de Quito
86,Universidade do Vale do Rio dos Sinos UNISINOS
88,Universidad de Tarapac\xc3\xa1
90,Universidad Sim\xc3\xb3n Bol\xc3\xadvar Venezuela
92,Universidade do Estado de Santa Catarina UDESC
94,Universidade Federal de Mato Grosso
96,Universidad Antonio Nari\xc3\xb1o
98,Universidad de la Frontera
100,University of the West Indies at St Augustine
