1,Indian Institute of Technology Bombay
3,Indian Institute of Technology Kanpur
5,University of Delhi
7,Tata Institute of Fundamental Research
9,Indian Institute of Science Bangalore
11,Banaras Hindu University
13,Jawaharlal Nehru University
15,Indian Institute of Technology Guwahati
17,Indian Statistical Institute Kolkata
19,Manipal University
21,National Institute of Technology Rourkela
23,Aga Khan University
25,Birla Institute of Technology & Science Pilani
27,Amrita University
29,University of Calcutta
31,Indian Institute of Technology Hyderabad
33,International Institute of Information Technology Hyderabad
35,Jamia Millia Islamia
37,Thapar University (Thapar Institute of Engineering & Technology)
39,University of Kalyani
41,Postgraduate Institute of Medical Education & Research Chandigarh
43,Indian Institute of Science Education and Research Pune
45,Bangladesh University of Engineering and Technology
47,Indian Institute of Technology (Banaras Hindu University) Varanasi
49,University of Peradeniya
51,Indian Agricultural Research Institute
53,University of Agriculture Faisalabad
55,National Institute of Science Education and Research
57,University of Colombo
59,University of Engineering & Technology Lahore
61,University of Mumbai
63,Birla Institute of Technology Mesra Ranchi
65,Indian Institute of Science Education and Research Kolkata
67,Motilal Nehru National Institute of Technology
69,National Institute of Technology Karnataka
71,University of Rajasthan Jaipur
73,Tamil Nadu Agricultural University
75,Indian Institute of Technology Bhubaneswar
77,University of Mysore
79,Bahauddin Zakariya University
81,Indian Institute of Technology Gandhinagar
83,University of Burdwan
85,Indian Institute of Technology Ropar
87,Maharshi Dayanand University
89,Delhi Technological University
91,National Institute of Technology Warangal
93,Lucknow University
95,Indian School of Business Hyderabad
97,University of Ruhuna
99,University of Kerala
2,Indian Institute of Technology Madras
4,(1) Indian Institute of Technology Delhi
6,Indian Institute of Technology Kharagpur
8,Indian Institute of Technology Roorkee
10,Anna University
12,VIT University (Vellore Institute of Technology)
14,Aligarh Muslim University
16,All India Institute of Medical Sciences
18,National University of Sciences & Technology
20,Amity University
22,Quaid-i-Azam University Islamabad
24,S R M University (Institute of Science & Technology)
26,University of Pune
28,National Institute of Technology Tiruchirappalli
30,University of the Punjab
32,Indian Institute of Technology Indore
34,University of Hyderabad
36,Jawaharlal Nehru Centre for Advanced Scientific Research
38,Cochin University of Science & Technology
40,Annamalai University
42,University of Madras
44,Pondicherry University
46,Saha Institute of Nuclear Physics
48,(1) Shivaji University
50,Panjab University
52,Sastra University
54,International Islamic University Islamabad
56,National Institute of Technology Calicut
58,Bharathidasan University
60,Institute of Mathematical Sciences
62,Osmania University Hyderabad
64,Malaviya National Institute of Technology
66,KIIT University Kalinga Institute of Industrial Technology
68,University of Allahabad
70,Institute of Chemical Technology
72,Indian Institute of Science Education and Research Thiruvananthapuram
74,Maharaja Sayajirao University of Baroda
76,Indian Institute of Technology (Indian School of Mines) Dhanbad
78,National Institute of Technology Durgapur (Regional Engineering College)
80,Karunya University
82,Jadavpur University
84,University of Karachi
86,University of Jammu
88,Kurukshetra University
90,(1) Alagappa University
92,(1) Indian Institute of Science Education and Research Bhopal
94,University of Chittagong
96,Guru Gobind Singh Indraprastha University
98,Punjab Agricultural University Ludhiana
100,Islamia University Bahawalpur
