1,Chulalongkorn University
3,Chiang Mai University
5,Khon Kaen University
7,Prince of Songkla University
9,Thammasat University
11,Asian Institute of Technology Thailand
13,s University of Technology North Bangkok"
15,Srinakharinwirot University
17,Silpakorn University
19,National Institute of Development Administration
21,Bangkok University
23,Nakhon Pathom Rajabhat University
25,Suan Sunandha Rajabhat University
27,Thaksin University
29,Maejo University
31,Rajamangala University of Technology Thanyaburi
33,Sripatum University
35,Chiang Mai Rajabhat University
37,University of Phayao
39,Huachiew Chalermprakiet University
41,Payap University
43,Yala Rajabhat University
45,Dhurakijpundit University
47,Rajamangala University of Technology Krungtheb
49,Rajabhat Maha Sarakham University
51,Ubon Ratchathani Rajabhat University
53,Mahachulalongkornrajavidyalaya University
55,Vongchavalitkul University
57,Lampang Rajabhat University
59,SIU International (Shinawatra University)
61,Loei Rajabhat University
63,Rajamangala University of Technology Rattanakosin
65,Samut Sakhon Community College
67,Phranakhon Rajabhat University
69,Chiang Rai Rajabhat University
71,Phramongkutklao College of Medicine
73,Kamphaeng Phet Rajabhat University
75,Udon Thani Rajabhat University
77,Songkhla Rajabhat University
79,(3) Sasin Graduate Institute of Business Administration Chulalongkorn University
81,Sisaket Rajabhat University
83,Roi-Et Rajabhat University
85,Valaya Alongkorn Rajabhat University
87,Stamford International University Thailand
89,Mahamakut Buddhist University
91,Krirk University
93,Nakhon Sawan Rajabhat University
95,Ratchatani University
97,Eastern Asia University Thailand
99,Uttaradit Rajabhat University
2,Mahidol University
4,Kasetsart University
6,Suranaree University of Technology
8,s University of Technology Thonburi"
10,Naresuan University
12,s Institute of Technology Ladkrabang"
14,Burapha University
16,Mahasarakham University
18,Mae Fah Luang University
20,Ubon Ratchathani University
22,Walailak University
24,Rangsit University
26,Mahanakorn University of Technology
28,Ramkhamhaeng University
30,University of the Thai Chamber of Commerce
32,Suan Dusit University
34,Buriram Rajabhat University
36,Rajamangala University of Technology Lanna
38,Pibulsongkram Rajabhat University
40,Rajamangala University of Technology Isan
42,Rajamangala University of Technology Phra Nakhon
44,Nakhon Ratchasima Rajabhat University
46,Sukhothai Thammathirat Open University
48,Chandrakasem Rajabhat University
50,Nakhon Phanom University
52,Siam University
54,Phetchaburi Rajabhat University
56,Phuket Rajabhat University
58,Suratthani Rajabhat University
60,Rajamangala University of Technology Suvarnabhumi
62,Kasem Bundit University
64,Rajamangala University of Technology Srivijaya
66,Phranakhon Si Ayutthaya Rajabhat University
68,Nakhon Si Thammarat Rajabhat University
70,Hatyai University
72,Bansomdejchaopraya Rajabhat University
74,Phetchaboon Rajabhat University
76,Rambhai Barni Rajabhat University
78,Rajamangala University of Technology Tawan-Ok
80,Thai Nichi Institute of Technology
82,South-East Asia University
84,Sakon Nakhon Rajabhat University
86,Kanchanaburi Rajabhat University
88,Rajapruk University (former Ratchaphruek College)
90,Rajanagarindra Rajabhat University
92,Panyapiwat Institute of Management
94,s University Thailand"
96,Kalasin University
98,Dhonburi Rajabhat University
100,Webster University Thailand
