1,\nUniversidad de Harvard\n
3,\nInstituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts\n
5,\nUniversidad de Cambridge \n
7,\nUniversidad de Princeton\n
9,\nUniversidad de Chicago\n
11,\nUniversidad de Yale\n
13,\nUniversidad de Cornell\n
15,\nUniversidad de California, San Diego\n
17,\nUniversidad de California, San Francisco\n
19,\nUniversidad de Wisconsin - Madison \n
21,\nUniversidad de Tokio\n
23,\nInstituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Z\xc3\x83\xc2\xbarich\n
25,\nUniversidad de Illinois en Urbana-Champaign\n
27,\nUniversidad de Kioto\n
29,\nUniversidad de Nueva York\n
31,\nUniversidad de Washington en St. Louis\n
33,\nUniversidad de Rockefeller\n
35,\nUniversidad de Duke\n
37,\nUniversidad de Columbia Brit\xc3\x83\xc2\xa1nica\n
39,\nUniversidad de Maryland, College Park\n
41,\nUniversidad Pierre y Marie Curie - Par\xc3\x83\xc2\xads VI\n
43,\nUniversidad de Copenhague\n
45,\nUniversidad Estatal de Pensilvania - University Park\n
47,\nUniversidad T\xc3\x83\xc2\xa9cnica de M\xc3\x83\xc2\xbanich\n
49,\nUniversidad de California, Irvine\n
51,\nCentro M\xc3\x83\xc2\xa9dico Suroccidental de la Universidad de Texas en Dallas\n
53,\nUniversidad de Edimburgo\n
55,\nUniversidad Carnegie Mellon\n
57,\nUniversidad Hebrea de Jerusal\xc3\x83\xc2\xa9n\n
59,\nRutgers, Universidad Estatal New Jersey - New Brunswick\n
61,\nUniversidad de Purdue - Lafayette del Oeste\n
63,\nUniversidad Estatal de Ohio - Columbus\n
65,\nUniversidad de Brown\n
67,\nUniversidad de Upsala\n
69,\nEscuela Normal Superior de Paris\n
71,\nUniversidad de Br\xc3\x83\xc2\xadstol\n
73,\nUniversidad de Ginebra\n
75,\nUniversidad de Oslo\n
77,\nUniversidad Estatal de Mosc\xc3\x83\xc2\xba\n
79,\nUniversidad de Utah\n
81,\nUniversidad de Estocolmo\n
83,\nUniversidad de Osaka\n
85,\nUniversidad de Nottingham\n
87,\nUniversidad de Queensland\n
89,\nUniversidad de Gante\n
91,\nUniversidad de Basilea\n
93,\nUniversidad Rice\n
95,\nUniversidad de Bonn\n
97,\nUniversidad Occidental de la Reserva del Caso\n
99,\nUniversidad de Tohoku\n
