1,Stanford University
3,University of California, Berkeley
5,Princeton University
7,The University of Texas at Austin
9,University of California, Los Angeles
11,California Institute of Technology
13,University of Illinois at Urbana-Champaign
15,University of Michigan-Ann Arbor
17,Swiss Federal Institute of Technology Zurich
19,The Ohio State University - Columbus
21,Purdue University - West Lafayette
23,University of Cambridge
25,Tsinghua University
27,King Abdulaziz University
29,University of California, Irvine
31,Columbia University
33,Nanyang Technological University
35,Northwestern University
37,New York University
39,The Hong Kong University of Science and Technology
41,University of Minnesota, Twin Cities
43,Zhejiang University
45,City University of Hong Kong
47,University of Notre Dame
49,Shanghai Jiao Tong University
51,Duke University
53,Harbin Institute of Technology
55,King Abdullah University of Science and Technology
57,Michigan State University
59,Peking University
61,Rice University
63,Simon Fraser University
65,The Hong Kong Polytechnic University
67,University of California, Santa Barbara
69,University of Copenhagen
71,University of Jaen
73,University of Washington
75,Xidian University
77,Dalian University of Technology
79,Johns Hopkins University
81,McGill University
83,Sapienza University of Rome
85,The Hebrew University of Jerusalem
87,The University of Hong Kong
89,University of Alberta
91,University of Florida
93,University of Illinois at Chicago
95,University of Science and Technology of China
97,University of Waterloo
99,Weizmann Institute of Science
2,Massachusetts Institute of Technology (MIT)
4,Harvard University
6,Carnegie Mellon University
8,Cornell University
10,University of Southern California
12,University of Toronto
14,University of California, San Diego
16,University of Maryland, College Park
18,Technion-Israel Institute of Technology
20,Tel Aviv University
22,Georgia Institute of Technology
24,National Taiwan University
26,The Imperial College of Science, Technology and Medicine
28,Technical University Munich
30,University of California, Davis
32,Arizona State University
34,University of Oxford
36,Swiss Federal Institute of Technology Lausanne
38,The Chinese University of Hong Kong
40,University of North Carolina at Chapel Hill
42,University of Granada
44,University College London
46,University of British Columbia
48,National University of Singapore
50,Yale University
52,Eindhoven University of Technology
54,Huazhong University of Science and Technology
56,KU Leuven
58,National Chiao Tung University
60,Pennsylvania State University - University Park
62,Rutgers, The State University of New Jersey - New Brunswick
64,Texas A&M University
66,The University of Manchester
68,University of Colorado at Boulder
70,University of Delaware
72,University of Utah
74,Xian Jiao Tong University
76,Brown University
78,Ghent University
80,Korea Advanced Institute of Science and Technology
82,New Jersey Institute of Technology
84,Technical University of Denmark
86,The University of Edinburgh
88,The University of New South Wales
90,University of Bristol
92,University of Houston
94,University of Pennsylvania
96,University of Southampton
98,University of Wisconsin - Madison
100,Wuhan University
