1,Harvard University
3,Massachusetts Institute of Technology (MIT)
5,Columbia University
7,Stanford University
9,New York University
11,University of Minnesota, Twin Cities
13,London School of Economics and Political Science
15,Carnegie Mellon University
17,Duke University
19,University of California, San Diego
21,Cornell University
23,University of Maryland, College Park
25,University of Toronto
27,The Ohio State University - Columbus
29,Erasmus University
31,University of Southern California
33,University of North Carolina at Chapel Hill
35,Toulouse School of Economics
37,University of Alberta
39,University of British Columbia
41,The University of Texas at Dallas
43,London Business School
45,Boston University
47,George Mason University
49,University College London
51,Brown University
53,Georgia Institute of Technology
55,McGill University
57,Pompeu Fabra University
59,Rice University
61,Temple University
63,The University of Manchester
65,Tilburg University
67,University of Arkansas at Fayetteville
69,University of California, Santa Barbara
71,University of Miami
73,University of South Carolina - Columbia
75,Vanderbilt University
77,Boston College
79,Georgetown University
81,Monash University
83,Tel Aviv University
85,The Imperial College of Science, Technology and Medicine
87,University of Amsterdam
89,University of California, Davis
91,University of East Anglia
93,University of Groningen
95,University of Montreal
97,University of Oslo
99,University of Virginia
2,University of Chicago
4,University of California, Berkeley
6,Princeton University
8,University of Pennsylvania
10,Northwestern University
12,University of Michigan-Ann Arbor
14,Yale University
16,University of California, Los Angeles
18,University of Cambridge
20,University of Oxford
22,Arizona State University
24,University of Washington
26,Pennsylvania State University - University Park
28,Texas A&M University
30,Indiana University Bloomington
32,Dartmouth College
34,University of Warwick
36,The University of Texas at Austin
38,INSEAD
40,University of Illinois at Urbana-Champaign
42,Washington University in St. Louis
44,University of Wisconsin - Madison
46,California Institute of Technology
48,Michigan State University
50,The Hong Kong University of Science and Technology
52,Emory University
54,Johns Hopkins University
56,National University of Singapore
58,Purdue University - West Lafayette
60,Rutgers, The State University of New Jersey - New Brunswick
62,The Hebrew University of Jerusalem
64,The University of Melbourne
66,University of Arizona
68,University of California, Irvine
70,University of Colorado at Boulder
72,University of Pittsburgh, Pittsburgh Campus
74,University of Zurich
76,Aarhus University
78,Copenhagen Business School
80,McMaster University
82,Simon Fraser University
84,The Chinese University of Hong Kong
86,The University of New South Wales
88,University of Bonn
90,University of Copenhagen
92,University of Florida
94,University of Houston
96,University of Notre Dame
98,University of Rochester
100,VU University Amsterdam
