1,University of California, Berkeley
3,Harvard University
5,California Institute of Technology
7,The University of Tokyo
9,University of Cambridge
11,University of California, Santa Barbara
13,The University of Manchester
15,The Imperial College of Science, Technology and Medicine
17,Nagoya University
19,Swiss Federal Institute of Technology Zurich
21,University of Munich
23,University of Paris-Sud (Paris 11)
25,University of California, Los Angeles
27,Durham University
29,Pierre and Marie  Curie University - Paris 6
31,The Ohio State University - Columbus
33,University of California, Santa Cruz
35,University of Oxford
37,Pennsylvania State University - University Park
39,University of Pennsylvania
41,University of Massachusetts Amherst
43,Heidelberg University
45,Rutgers, The State University of New Jersey - New Brunswick
47,University of Science and Technology of China
49,Swiss Federal Institute of Technology Lausanne
51,Autonomous University of Madrid
53,Duke University
55,Iowa State University
57,Leiden University
59,Michigan State University
61,Osaka University
63,Radboud University Nijmegen
65,University College London
67,University of Bonn
69,University of California, San Diego
71,University of Frankfurt
73,University of Padua
75,Utrecht University
77,Carnegie Mellon University
79,Purdue University - West Lafayette
81,Scuola Normale Superiore - Pisa
83,Swinburne University of Technology
85,Tel Aviv University
87,University of Bristol
89,University of Innsbruck
91,University of Minnesota, Twin Cities
93,University of Strasbourg
95,University of Valencia
97,University of Zurich
99,Uppsala University
2,Princeton University
4,Massachusetts Institute of Technology (MIT)
6,Stanford University
8,University of Chicago
10,Cornell University
12,University of Colorado at Boulder
14,Johns Hopkins University
16,Columbia University
18,University of Michigan-Ann Arbor
20,The University of Edinburgh
22,University of Arizona
24,University of Maryland, College Park
26,University of Washington
28,Kyoto University
30,University of Illinois at Urbana-Champaign
32,University of Wisconsin - Madison
34,The University of Texas at Austin
36,Yale University
38,The Australian National University
40,Ecole Normale Superieure - Paris
42,Tohoku University
44,University of Toronto
46,University of California, Irvine
48,University of Hawaii at Manoa
50,Texas A&M University
52,Brown University
54,UniversitA libre de Bruxelles (ULB)
56,Karlsruhe Institute of Technology (KIT)
58,McMaster University
60,Northwestern University
62,Peking University
64,Tokyo Institute of Technology
66,University of Bologna
68,University of British Columbia
70,University of Copenhagen
72,University of Geneva
74,University of Tennessee - Knoxville
76,Boston University
78,National University of Singapore
80,Sapienza University of Rome
82,Seoul National University
84,Technical University Munich
86,Tsinghua University
88,University of Hamburg
90,University of Mainz
92,University of Rochester
94,University of Sussex
96,University of Vienna
98,University Paris Diderot - Paris 7
100,Weizmann Institute of Science
