1,Massachusetts Institute of Technology (MIT)
3,University of California, Berkeley
5,The University of Texas at Austin
7,Georgia Institute of Technology
9,Carnegie Mellon University
11,Nanyang Technological University
13,University of Cambridge
15,University of California, San Diego
17,National University of Singapore
19,Purdue University - West Lafayette
21,Northwestern University
23,Harbin Institute of Technology
25,Harvard University
27,City University of Hong Kong
29,University of Minnesota, Twin Cities
31,University of Maryland, College Park
33,Pierre and Marie  Curie University - Paris 6
35,The Ohio State University - Columbus
37,Cornell University
39,Tohoku University
41,The University of New South Wales
43,University of Science and Technology of China
45,King Abdulaziz University
47,University of Waterloo
49,Eindhoven University of Technology
51,Arizona State University
53,Fudan University
55,Korea University
57,Monash University
59,National Chiao Tung University
61,Seoul National University
63,Technical University Munich
65,The Chinese University of Hong Kong
67,University of California, Davis
69,University of Colorado at Boulder
71,University of Southampton
73,University of Wisconsin - Madison
75,Zhejiang University
77,Central South University
79,Huazhong University of Science and Technology
81,Korea Advanced Institute of Science and Technology
83,Kyoto University
85,Osaka University
87,Pohang University of Science and Technology
89,The Hong Kong Polytechnic University
91,The University of Manchester
93,The University of Tokyo
95,University of Alberta
97,University of Erlangen-Nuremberg
99,University of Pennsylvania
2,Stanford University
4,University of Illinois at Urbana-Champaign
6,The Imperial College of Science, Technology and Medicine
8,University of Michigan-Ann Arbor
10,Texas A&M University
12,Tsinghua University
14,Swiss Federal Institute of Technology Lausanne
16,Pennsylvania State University - University Park
18,University of California, Santa Barbara
20,California Institute of Technology
22,Princeton University
24,University of Toronto
26,University of Southern California
28,Shanghai Jiao Tong University
30,University of California, Los Angeles
32,North Carolina State University - Raleigh
34,University of Washington
36,Swiss Federal Institute of Technology Zurich
38,Technical University of Denmark
40,The Hong Kong University of Science and Technology
42,National Taiwan University
44,Technion-Israel Institute of Technology
46,The University of Melbourne
48,South China University of Technology
50,Xian Jiao Tong University
52,Duke University
54,King Abdullah University of Science and Technology
56,KU Leuven
58,National Cheng Kung University (NCKU)
60,Rice University
62,Southeast University
64,Tel Aviv University
66,University of Bristol
68,University of California, Irvine
70,University of Oxford
72,University of Tehran
74,Virginia Polytechnic Institute and State University
76,Aalborg University
78,Columbia University
80,Johns Hopkins University
82,KTH Royal Institute of Technology
84,Linkoping University
86,Peking University
88,Polytechnic Institute of Milan
90,The University of Hong Kong
92,The University of Queensland
94,University College London
96,University of British Columbia
98,University of Massachusetts Amherst
100,University of Tennessee - Knoxville
