1,Universidad de California-Berkeley
3,Universidad de Stanford
5,Universidad del Noroeste
7,Universidad de Cambridge 
9,Universidad de Kioto
11,Universidad de California, Los \xc3\x83\xc2\x81ngeles
13,Universidad de California, Santa B\xc3\x83\xc2\xa1rbara
15,Universidad de Cornell
17,Universidad de Oxford
19,Universidad de Estrasburgo
21,Universidad de Heidelberg
23,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Lausana
25,Universidad de Tokio
27,Universidad de California, Irvine
29,Universidad de M\xc3\x83\xc2\xadchigan-Ann Arbor
31,Universidad de Pek\xc3\x83\xc2\xadn
33,Universidad de Colorado en Boulder 
35,Universidad de Tohoku
37,Universidad de Florida
39,Universidad de Osaka
41,University of California, Riverside
43,Universidad de Wisconsin - Madison 
45,Universidad de Chicago
47,Universidad del Sur de California
49,Universidad de Nagoya
51,Universidad de Aarhus
53,Universidad de Fudan
55,Universidad de Jilin
57,Universidad Rey Abdullah de Ciencia y Tecnolog\xc3\x83\xc2\xada
59,Universidad Tecnol\xc3\x83\xc2\xb3gica de Nanyang 
61,Universidad de Princeton
63,Universidad de Estocolmo
65,Universidad de Tsinghua
67,Universidad Erlangen-N\xc3\x83\xc2\xbcremberg
69,Universidad de Groningen
71,Universidad de Pittsburgh-Campus de Pittsburgh
73,Universidad de Southampton
75,Universidad de Xiamen
77,Universidad de Duke
79,Universidad de Hokkaido
81,Universidad de Indiana Bloomington
83,Universidad de Corea
85,Universidad de Nankai
87,Universidad Estatal de Pensilvania - University Park
89,Universidad Nacional de Se\xc3\x83\xc2\xbal
91,Universidad Estatal de Ohio - Columbus
93,Universidad de Bolonia
95,Universidad de Columbia Brit\xc3\x83\xc2\xa1nica
97,Universidad de Ottawa
99,Universidad de Zaragoza
2,Universidad de Harvard
4,Instituto de Tecnolog\xc3\x83\xc2\xada de California
6,Instituto de Tecnolog\xc3\x83\xc2\xada de Massachusetts
8,Instituto Federal Suizo de Tecnolog\xc3\x83\xc2\xada de Z\xc3\x83\xc2\xbarich
10,Universidad de Pennsylvania
12,Universidad de Yale
14,Universidad T\xc3\x83\xc2\xa9cnica de M\xc3\x83\xc2\xbanich
16,Universidad de Columbia
18,Universidad de California, San Diego
20,Universidad de Purdue - Lafayette del Oeste
22,Universidad Rice
24,Universidad de Toronto
26,Universidad de Texas en Austin
28,Instituto de Tecnolog\xc3\x83\xc2\xada de Georgia
30,Universidad de Minnesota, Twin Cities
32,Universidad de Wurzburgo
34,Universidad de Illinois en Urbana-Champaign
36,Universidad Rey Abdulaziz
38,Universidad de Zhejiang
40,Universidad de Texas A&M
42,Instituto Weizmann de Ciencias
44,Universidad de Monash
46,Universidad de M\xc3\x83\xc2\xbcnster
48,Instituto Tecnol\xc3\x83\xc2\xb3gico de Tokio
50,Colegio Imperial de Ciencia, Tecnolog\xc3\x83\xc2\xada y Medicina 
52,Universidad Carnegie Mellon
54,Instituto Indio de Ciencia
56,Universidad Johns Hopkins
58,Universidad de Nank\xc3\x83\xc2\xadn
60,Universidad Nacional Tsing Hua
62,Universidad RWTH Aachen
64,Universidad Sun Yat-sen
66,Universidad de California, Davis
68,Universidad de Gotinga
70,Universidad de Carolina del Norte en Chapel Hill
72,Universidad de Ciencias y Tecnolog\xc3\x83\xc2\xada de China
74,Universidad de Washington en St. Louis
76,Universidad de Tecnolog\xc3\x83\xc2\xada de Dalian
78,Universidad de Ciencia y Tecnolog\xc3\x83\xc2\xada del Este de China
80,Universidad de Hunan
82,Instituto Tecnol\xc3\x83\xc2\xb3gico de Karlsruhe
84,Universidad de Kyushu
86,Universidad Nacional de Singapur
88,Universidad Polit\xc3\x83\xc2\xa9cnica de Valencia
90,Universidad Hebrea de Jerusal\xc3\x83\xc2\xa9n
92,Universidad Estatal de Nueva York en Buffalo
94,Universidad de Br\xc3\x83\xc2\xadstol
96,Universidad de Notre Dame
98,Universidad de Stuttgart
100,Universidad de Utrecht
