1,Harvard University
3,Massachusetts Institute of Technology (MIT)
5,University of California, Berkeley
7,Princeton University
9,University of Pennsylvania
11,University of Michigan-Ann Arbor
13,University of Oxford
15,University of Minnesota, Twin Cities
17,Duke University
19,Carnegie Mellon University
21,University of North Carolina at Chapel Hill
23,The Ohio State University - Columbus
25,University of Maryland, College Park
27,University of Washington
29,University of British Columbia
31,University of Southern California
33,University of Wisconsin - Madison
35,Indiana University Bloomington
37,University of Amsterdam
39,University of Illinois at Urbana-Champaign
41,University College London
43,VU University Amsterdam
45,University of California, Irvine
47,University of Arizona
49,The University of Melbourne
51,Aarhus University
53,Brown University
55,Georgetown University
57,London Business School
59,McMaster University
61,Rutgers, The State University of New Jersey - New Brunswick
63,The University of Georgia
65,University of Alberta
67,University of California, Santa Barbara
69,University of Florida
71,University of Miami
73,University of Virginia
75,Utrecht University
77,Emory University
79,Maastricht University
81,National University of Singapore
83,Tel Aviv University
85,The Australian National University
87,The Hong Kong University of Science and Technology
89,The University of Queensland
91,Tilburg University
93,University of Copenhagen
95,University of Groningen
97,University of Oslo
99,University of South Carolina - Columbia
2,University of Chicago
4,Columbia University
6,Stanford University
8,New York University
10,Yale University
12,London School of Economics and Political Science
14,Northwestern University
16,University of California, Los Angeles
18,University of Cambridge
20,The University of Texas at Austin
22,Pennsylvania State University - University Park
24,Arizona State University
26,University of California, San Diego
28,Cornell University
30,University of Toronto
32,Washington University in St. Louis
34,Vanderbilt University
36,Texas A&M University
38,Michigan State University
40,Dartmouth College
42,University of Warwick
44,Erasmus University
46,George Mason University
48,Johns Hopkins University
50,The University of Manchester
52,Boston University
54,Florida State University
56,KU Leuven
58,McGill University
60,Purdue University - West Lafayette
62,The Hebrew University of Jerusalem
64,The University of Texas at Dallas
66,University of California, Davis
68,University of Colorado at Boulder
70,University of Illinois at Chicago
72,University of Pittsburgh, Pittsburgh Campus
74,University of Zurich
76,Copenhagen Business School
78,Georgia Institute of Technology
80,Monash University
82,Simon Fraser University
84,Temple University
86,The Hong Kong Polytechnic University
88,The University of Edinburgh
90,The University of Sheffield
92,University of Arkansas at Fayetteville
94,University of Essex
96,University of Montreal
98,University of Rochester
100,University of Sydney
