1,Universidad de Buenos Aires
3,Universidad Nacional de Cordoba
5,Universidad Nacional del Litoral
7,Universidad Tecnologica Nacional
9,Universidad Nacional de San Martin Argentina
11,Universidad Nacional de Tucuman
13,Universidad Nacional del Comahue
15,Universidad Nacional del Nordeste
17,Pontificia Universidad Catolica Argentina
19,Universidad Nacional de Salta
21,Universidad Nacional de Cuyo Mendoza
23,Universidad Nacional de la Patagonia San Juan Bosco
25,Universidad de San Andres Buenos Aires
27,Universidad Austral
29,Universidad Nacional de General Sarmiento
31,Instituto Balseiro
33,Universidad Nacional de Rio Negro
35,Universidad Favaloro
37,Universidad Nacional de Lujan
39,Universidad de Belgrano
41,(1) Universidad Maimonides
43,Instituto Universitario CEMIC
45,Universidad Abierta Interamericana
47,Universidad Nacional de Villa Maria
49,Universidad de la Punta
51,Universidad Nacional de Lomas de Zamora
53,Universidad Nacional de la Matanza
55,Universidad Nacional del Noroeste de la Provincia de Buenos Aires
57,Universidad Blas Pascal
59,Universidad Nacional de Formosa
61,Universidad de Mendoza
63,Universidad de Flores
65,Universidad del Norte Santo Tomas de Aquino
67,Universidad Juan Agustin Maza
69,Universidad Nacional Arturo Jauretche
71,Universidad de la Cuenca del Plata
73,Instituto Universitario de Ciencias de la Salud Barcelo
75,Universidad Nacional de las Artes
77,Universidad Catolica de Santa Fe
79,Universidad del Museo Social Argentino
81,Colegio Universitario IES Siglo 21
83,Vaneduc Universidad Abierta Interamericana
85,Universidad del Cine
87,Instituto Sabato
89,Universidad Virtual de Quilmes
91,Universidad Catolica de la Plata
93,Universidad Nacional de Moreno
95,Universidad del Centro Educativo Latinoamericano
97,Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires
99,Universidad Champagnat Mendoza
2,Universidad Nacional de la Plata
4,Universidad Nacional de Rosario
6,Universidad Nacional de Mar del Plata
8,Universidad Nacional del Centro de la Provincia de Buenos Aires
10,Universidad Nacional del Sur
12,Universidad Nacional de Quilmes
14,Universidad Nacional de San Luis
16,Universidad Nacional de Rio Cuarto
18,Universidad Torcuato di Tella
20,Universidad Nacional de San Juan
22,Universidad de Palermo Argentina
24,Universidad Nacional de Santiago del Estero
26,Universidad Nacional de Misiones
28,Universidad Nacional de la Pampa
30,Instituto Tecnologico de Buenos Aires
32,Universidad Nacional de Entre Rios
34,Facultad Latinoamericana de Ciencias Sociales Argentina
36,Universidad del Salvador Buenos Aires
38,Universidad Nacional Tres de Febrero
40,Universidad Nacional de Lanus
42,Universidad Catolica de Cordoba
44,Universidad Nacional de Jujuy
46,Universidad Fasta Mar del Plata
48,Universidad Argentina de la Empresa
50,Universidad Nacional de Catamarca
52,Universidad Argentina John F Kennedy
54,Universidad Nacional de la Patagonia Austral
56,IAE Business School
58,Universidad Nacional de la Rioja
60,Universidad Autonoma de Entre Rios
62,Universidad del Cema
64,Universidad de Moron
66,Universidad Empresarial Siglo 21
68,Universidad de Ciencias Empresariales y Sociales
70,Universidad Catolica de Salta
72,Universidad ISALUD
74,Universidad Nacional de Chilecito
76,Universidad Catolica de Santiago del Estero
78,Universidad Adventista del Plata
80,Instituto Universitario Aeronautico
82,Universidad de Congreso
84,Universidad Nacional del Chaco Austral
86,Universidad Caece
88,Escuela Superior de Economia y Administracion de Empresas
90,Universidad del Aconcagua
92,IPLAN
94,Universidad Nacional de Concepcion del Uruguay
96,Instituto de Ensenanza Superior del Ejercito
98,Universidad de la Marina Mercante
100,Universidad Gaston Dachary
