1,(2) Universidade de Sao Paulo USP
3,Universidade Federal do Rio de Janeiro
5,Universidade Estadual Paulista Julio de Mesquita Filho
7,Universidade Federal de Santa Catarina UFSC
9,Universidade Federal do Parana
11,Universidade Federal do Ceara
13,Universidade Federal do Rio Grande do Norte
15,Universidade do Estado do Rio de Janeiro UERJ
17,Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO
19,Universidade Federal de Sao Carlos
21,Universidade Federal do Para UFPA
23,Universidade Federal de Vicosa UFV
25,Universidade Estadual de Londrina
27,Universidade Federal de Pelotas UFPEL
29,Universidade Federal de Uberlandia
31,Fundacao Getulio Vargas FGV
33,Universidade Federal de Campina Grande
35,Universidade Federal de Sao Joao del Rei UFSJ
37,Universidade Estadual de Ponta Grossa UEPG
39,Universidade Tecnologica Federal do Parana UTFPR
41,Universidade Federal de Ouro Preto UFOP
43,Universidade do Estado de Santa Catarina UDESC
45,Universidade Federal de Mato Grosso
47,Universidade Federal de Mato Grosso do Sul
49,Universidade Estadual de Feira de Santana UEFS
51,Universidade Federal Rural do Rio de Janeiro UFRRJ
53,Universidade Federal Rural de Pernambuco UFRPE
55,Instituto Tecnologico de Aeronautica ITA
57,Universidade de Caxias do Sul
59,Universidade Estacio de Sa
61,Universidade Estadual do Ceara
63,Universidade Nove de Julho
65,Universidade do Sul de Santa Catarina UNISUL
67,Universidade Federal do Estado do Rio de Janeiro UNIRIO
69,Universidade Estadual do Norte Fluminense Darcy Ribeiro
71,Universidade de Fortaleza UNIFOR
73,Universidade de Santa Cruz do Sul UNISC
75,Universidade Federal da Grande Dourados UFGD
77,Universidade Salvador UNIFACS
79,Universidade Federal do Triangulo Mineiro UFTM
81,Universidade Federal Rural da Amazonia
83,Universidade Regional de Blumenau FURB
85,Universidade do Estado da Bahia UNEB
87,Universidade Federal do Reconcavo da Bahia UFRB
89,Centro Federal de Educacao Tecnologica de Minas Gerais CEFET-MG
91,Universidade Federal de Ciencias da Saude de Porto Alegre UFCSPA
93,Universidade do Vale do Paraiba UNIVAP
95,Universidade do Estado do Amazonas UEA
97,Faculdade de Medicina de Sao Jose do Rio Preto FAMERP
99,Universidade Paranaense UNIPAR
2,Universidade Estadual de Campinas UNICAMP
4,Universidade Federal do Rio Grande do Sul UFRGS
6,Universidade Federal de Minas Gerais UFMG
8,Universidade de Brasilia UNB
10,Universidade Federal Fluminense
12,Universidade Federal da Bahia
14,Universidade Federal de Pernambuco
16,Universidade Federal de Sao Paulo UNIFESP
18,Universidade Federal de Goias UFG
20,Universidade Federal de Santa Maria UFSM
22,Pontificia Universidade Catolica do Rio Grande do Sul PUCRS
24,Universidade Estadual de Maringa
26,Universidade Federal da Paraiba UFPB
28,Universidade Federal de Juiz de Fora UFJF
30,Universidade Federal do Espirito Santo
32,Universidade Federal do Amazonas UFAM
34,Universidade Federal do ABC UFABC
36,Pontificia Universidade Catolica do Parana PUCPR
38,Universidade Federal de Lavras UFLA
40,Universidade Federal do Rio Grande FURG
42,Universidade do Vale do Rio dos Sinos UNISINOS
44,Universidade Federal de Sergipe UFS
46,Universidade Federal do Maranhao
48,Universidade Estadual do Oeste do Parana UNIOSTE
50,Universidade Presbiteriana Mackenzie
52,Universidade Estadual de Montes Claros UNIMONTES
54,Pontificia Universidade Catolica do Minas Gerais PUC MINAS
56,Universidade Catolica de Brasilia
58,Universidade Federal de Itajuba UNIFEI
60,Universidade de Passo Fundo
62,Pontificia Universidade Catolica de Sao Paulo PUC-SP
64,Universidade Estadual do Centro Oeste UNICENTRO
66,Universidade Paulista UNIP
68,Universidade Estadual de Santa Cruz UESC
70,Universidade de Pernambuco
72,Universidade Federal de Alfenas UNIFAL-MG
74,Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM
76,Universidade do Vale do Itajai UNIVALI
78,Universidade Federal do Pampa UNIPAMPA
80,Universidade Luterana do Brasil ULBRA
82,Universidade Federal do Vale do Sao Francisco UNIVASF
84,(1) Universidade do Extremo Sul Catarinense UNESC
86,Universidade Federal do Tocantins UFT
88,Universidade Estadual de Goias UEG
90,Universidade Federal Rural do Semi-Arido UFERSA
92,Universidade Federal do Piaui UFPI
94,Universidade Federal de Rondonia
96,Universidade Guarulhos UNG
98,Universidade Cruzeiro do Sul
100,Universidade Estadual da Paraiba UEPB
