1,University of Toronto
3,McGill University
5,University of Waterloo
7,Simon Fraser University
9,Universite de Montreal
11,Ottawa / University of Ottawa"
13,s University Kingston"
15,Dalhousie University
17,University of Manitoba
19,University of Guelph
21,Concordia University Montreal
23,Memorial University of Newfoundland
25,Universite de Sherbrooke
27,University of New Brunswick
29,University of Regina
31,Wilfrid Laurier University
33,Lakehead University
35,Trent University
37,Universite INRS Institut National de la Recherche Scientifique
39,Ecole de Technologie Superieure
41,Universite du Quebec Chicoutimi
43,University of Prince Edward Island
45,s University"
47,(1) Universite Laurentienne / Laurentian University
49,Universite du Quebec Trois-Rivieres
51,Universite de Moncton
53,Mount Royal University
55,Nipissing University
57,Mount Saint Vincent University
59,Royal Roads University
61,Universite du Quebec Abitibi-Temiscamingue
63,Royal Military College of Canada
65,Trinity Western University
67,British Columbia Institute of Technology
69,University of the Fraser Valley
71,OCAD University (Ontario College of Art & Design)
73,Saint Thomas University
75,MacEwan University (Grant MacEwan College)
77,Kwantlen Polytechnic University (Kwantlen University College)
79,Nothern Alberta Institute of Technology
81,Okanagan College
83,Tele-Universite TELUQ
85,Redeemer University
87,Langara College
89,Dawson College Westmount Montreal
91,Algoma University
93,Administration Publique"
95,Nova Scotia Community College
97,John Abbott College
99,Yukon College
2,University of British Columbia
4,University of Alberta
6,University of Calgary
8,McMaster University
10,University of Western Ontario / Western University
12,University of Victoria British Columbia
14,York University
16,Universite Laval
18,University of Saskatchewan
20,Carleton University
22,Universite du Quebec Montreal
24,Ryerson University
26,University of Windsor
28,Ecole Polytechnique de Montreal
30,Brock University
32,University of Lethbridge
34,Universite du Quebec
36,HEC Montreal Ecole de Gestion
38,University of Ontario Institute of Technology
40,University of Winnipeg
42,Saint Francis Xavier University
44,Athabasca University
46,Acadia University
48,University of Northern British Columbia
50,Mount Allison University
52,Universite du Quebec Outaouais
54,Universite du Quebec Rimouski
56,Thompson Rivers University
58,s University"
60,Brandon University
62,Cape Breton University
64,Northern Ontario School of Medicine (Laurentian University Lakehead University)
66,Canadian Memorial Chiropractic College
68,Vancouver Island University (Malaspina)
70,Algonquin College
72,Humber College
74,George Brown College
76,Sheridan College Institute of Technology and Advanced Learning
78,Seneca College
80,Centennial College Toronto
82,Conestoga College
84,Capilano University
86,Niagara College
88,Douglas College
90,Georgian College
92,Emily Carr University of Art + Design
94,Mohawk College
96,Concordia University of Edmonton
98,Red Deer College
100,Fanshawe College
