1,Universidad de Chile
3,Universidad de Concepcion
5,Universidad de Santiago de Chile
7,Universidad Diego Portales
9,Pontificia Universidad Catolica de Valparaiso
11,Universidad de Valparaiso
13,Universidad de la Frontera
15,Universidad del Desarrollo
17,Universidad Adolfo Ibanez
19,Universidad de los Andes Santiago de Chile
21,Universidad de la Serena
23,Universidad Catolica de la Santisima Concepcion
25,Universidad San Sebastian Chile
27,Universidad Alberto Hurtado
29,Universidad Mayor Chile
31,Universidad Arturo Prat
33,Universidad de Atacama
35,Universidad Tecnologica Metropolitana
37,Universidad Tecnologica de Chile INACAP
39,Universidad Catolica Silva Henriquez
41,Universidad Santo Tomas Santiago de Chile
43,Universidad de Vina del Mar
45,Duocuc Universidad Catolica
47,Universidad del Pacifico Santiago de Chile
49,Universidad Internacional SEK Autonoma
51,Universidad de Artes Ciencias y Comunicacion
53,AIEP Instituto Profesional de la Universidad Andres Bello
55,Instituto Profesional Instituto Superior de Artes y Ciencias de la Comunicacion
57,Universidad del Mar Vina del Mar
59,Universidad Chileno-Britanico de Cultura
61,Instituto Profesional de Arte y Comunicacion Arcos
63,Universidad Ciencias de la informatica
65,Instituto Profesional de Chile
67,Escuela Moderna de Musica
69,Instituto Profesional Los Leones
71,Centro de Formacion Tecnica de Enac
73,Instituto Profesional Projazz
75,Instituto Profesional Providencia
77,Instituto Profesional Latinoamericano de Comercio Exterior
79,Instituto Nacional de Futbol
81,Universidad de Aconcagua
83,Instituto Profesional del Valle Central
85,Instituto Profesional Instituto Internacional de Artes Culinarias y Servicios
87,Academia de Guerra Ejercito de Chile
89,Escuela de Comercio de Santiago
91,Instituto Profesional Diego Portales
93,Universidad Iberoamericana de Ciencias y Tecnologias
95,Instituto Profesional Carlos Casanueva
97,Instituto Profesional Aleman Wilhelm Von Humboldt
99,Instituto Profesional Eatri Instituto Profesional
2,Pontificia Universidad Catolica de Chile
4,Universidad Tecnica Federico Santa Maria
6,Universidad Austral de Chile
8,Universidad Andres Bello
10,Universidad de Talca
12,Universidad de Tarapaca
14,Universidad Catolica del Norte
16,Universidad del Bio-Bio
18,Universidad Catolica de Temuco
20,Universidad de Antofagasta
22,Universidad de los Lagos
24,Universidad Autonoma de Chile
26,Universidad de Magallanes
28,Universidad de Playa Ancha Valparaiso
30,Universidad Catolica del Maule
32,Universidad Central de Chile
34,Universidad Metropolitana de Ciencias de la Educacion
36,Higgins"
38,Universidad Finis Terrae
40,Universidad Academia de Humanismo Cristiano
42,Universidad Gabriela Mistral
44,Universidad de las Americas Chile
46,Universidad Adventista de Chile
48,Instituto de Filosofia y Ciencias de la Complejidad
50,FLACSO Chile Facultad Latinoamericana de Ciencias Sociales
52,Centro de Formacion Tecnica San Agustin de Talca
54,Instituto Profesional Vertical
56,Universidad de Artes y Ciencias Sociales ARCIS
58,Universidad Bolivariana
60,Centro de Formacion Tecnica Uda
62,Instituto de Sistemas Complejos de Valparaiso
64,Universidad Pedro de Valdivia (Universidad Mariano Egana)
66,Instituto Profesional Virginio Gomez
68,Centro de Formacion Tecnica del Medio Ambiente
70,Instituto Profesional Escuela de Cine de Chile
72,Universidad Miguel de Cervantes
74,Centro de Formacion Tecnica Ceduc
76,Uvirtual Consorcio de Universidades
78,Instituto Profesional La Araucana
80,Universidad La Republica
82,Instituto Profesional Esucomex
84,Institute for Executive Development IEDE Chile
86,Centro de Formacion Tecnica Instituto Tecnologico de Chile
88,Instituto de Ciencias Tecnologicas CIISA
90,Centro de Formacion Tecnica Lota-Arauco
92,Centro de Formacion Tecnica Icel
94,Instituto Profesional Escuela de Contadores Auditores de Santiago
96,Academia Politecnica Militar
98,Centro de Formacion Tecnica Juan Bohon
100,Centro de Formacion Tecnica Proandes
