1,Universidad San Francisco de Quito
3,Pontificia Universidad Catolica del Ecuador
5,Escuela Politecnica Nacional
7,Universidad de Cuenca
9,Universidad Central del Ecuador
11,Universidad del Azuay
13,Universidad Estatal Peninsula de Santa Elena
15,FLACSO Ecuador Facultad Latinoamericana de Ciencias Sociales
17,Universidad Nacional de Loja
19,Universidad de Especialidades Espiritu Santo
21,Universidad Nacional de Chimborazo
23,Universidad de Guayaquil
25,Universidad Catolica de Santiago de Guayaquil
27,Universidad Metropolitana del Ecuador
29,Universidad Laica Eloy Alfaro de Manabi
31,Yachay Tech
33,Universidad Internacional del Ecuador
35,Universidad Particular Internacional SEK
37,Universidad Catolica de Cuenca
39,Universidad Laica Vicente Rocafuerte de Guayaquil
41,Escuela Superior Politecnica Agropecuaria de Manabi
43,Universidad Estatal del Sur de Manabi UNESUM
45,Universidad Tecnica de Cotopaxi
47,Universidad Regional Autonoma de los Andes UNIANDES
49,Universidad Agraria del Ecuador
51,Universidad Tecnologica ECOTEC
53,Universidad Politecnica Estatal del Carchi UPEC
55,Universidad Tecnologica Israel
57,Universidad de Otavalo
59,Pontificia Universidad Catolica de Ecuador Sede Santo Domingo
61,Universidad de Especialidades Turisticas
2,Escuela Superior Politecnica del Litoral
4,Universidad Tecnica Particular de Loja
6,Universidad de las Fuerzas Armadas ESPE (Escuela Politecnica del Ejercito)
8,Universidad Politecnica Salesiana Ecuador
10,Universidad Tecnica de Ambato
12,Universidad Andina Simon Bolivar Ecuador
14,Universidad de las Americas Ecuador
16,Escuela Superior Politecnica de Chimborazo
18,Universidad Tecnologica Equinoccial
20,Universidad Particular San Gregorio de Portoviejo USGP
22,Universidad Tecnica del Norte
24,Universidad Estatal Amazonica
26,Instituto de Altos Estudios Nacionales
28,Universidad Tecnica de Machala
30,Universidad Tecnologica Indoamerica
32,Universidad Tecnica Estatal de Quevedo
34,Universidad Estatal de Milagro
36,Universidad Tecnica de Manabi
38,Universidad Estatal de Bolivar
40,Universidad Casa Grande
42,Universidad de los Hemisferios
44,Pontificia Universidad Catolica Sede Ibarra
46,Universidad del Pacifico Escuela de Negocios
48,Universidad Tecnica de Babahoyo
50,Universidad Tecnica Luis Vargas Torres de Esmeraldas
52,Pontificia Universidad Catolica del Ecuador Sede Ambato
54,Universidad Santa Maria de Chile Campus Guayaquil
56,Universidad Tecnologica Empresarial de Guayaquil
58,Escuela de Direccion de Empresas
60,Universidad Iberoamericana del Ecuador
62,Universidad Internacional de La Rioja Ecuador
