1,Universite de Paris XI / Universite Paris Sud (comUE Universite Paris Saclay)
3,Ecole Normale Superieure ENS Paris (comUE Universite Paris PSL)
5,Universite de Lyon I / Universite Claude Bernard (comUE Universite de Lyon)
7,Universite dAix Marseille / Aix Marseille Universite
9,Universite de Montpellier (comUE Languedoc Roussillon Universites)
11,Universite de Lorraine
13,Ecole Normale Superieure de Lyon (comUE Universite de Lyon)
15,Observatoire de Paris
17,Sorbonne Universite
19,Ecole Polytechnique (comUE Universite Paris Saclay)
21,Aquitaine)"
23,College de France (comUE Universite Paris PSL)
25,Universite de Versailles / Universite de Versailles Saint Quentin en Yvelines (comUE Universite Paris Saclay)
27,Universite de Tours / Universite Francois Rabelais (comUE Universite confederale Leonard de Vinci)
29,Universite de Poitiers (comUE Universite confederale Leonard de Vinci)
31,Ecole des Hautes Etudes en sciences sociales EHESS (comUE Universite Paris PSL)
33,Universite Clermont Auvergne
35,Universite de Rouen (comUE Normandie Universite)
37,CentraleSupelec (comUE Universite Paris Saclay)
39,Universite de Toulouse II / Universite Toulouse Jean Jaures (comUE Universite de Toulouse)
41,Environnement (ENGREF+ENSIA+INA PG) (comUE Universite Paris Saclay)"
43,(1) Ecole Normale Superieure Paris Saclay / ENS Cachan (comUE Universite Paris Saclay)
45,Universite de Picardie Jules Verne / Universite dAmiens
47,Universite de Paris XII / Universite Paris Est Creteil Val de Marne (comUE Universite Paris Est)
49,Universite de Strasbourg)"
51,Universite de Chambery / Universite Savoie Mont Blanc (Communaute Universite Grenoble Alpes)
53,Universite de Limoges (comUE Universite confederale Leonard de Vinci)
55,Etudes Politiques de Paris (comUE Universite Sorbonne Paris Cite)"
57,Aquitaine)"
59,Universite de Cergy Pontoise (comUE Universite Paris Seine)
61,Universite de Marne la Vallee / Universite Paris Est Marne la Vallee (comUE Universite Paris Est)
63,Universite de Lyon II / Universite Lumiere Lyon II (comUE Universite de Lyon)
65,Universite de Valenciennes / Universite de Valenciennes et du Hainaut Cambresis (comUE Lille Nord de France)
67,Universite de Toulon
69,Universite de Perpignan (comUE Languedoc Roussillon Universites)
