1,Universita degli Studi di Roma La Sapienza
3,Universita degli Studi di Padova
5,Universita di Pisa (Universita degli Studi di Pisa)
7,Politecnico di Milano
9,Universita degli Studi di Firenze
11,Universita degli Studi di Trento
13,Politecnico di Torino
15,Universita degli Studi di Catania
17,Universita degli Studi di Bari Aldo Moro
19,Universita della Calabria (Universita degli Studi della Calabria)
21,Universita degli Studi di Parma
23,Universita degli Studi Roma Tre
25,Universita degli Studi di Salerno
27,Universita degli Studi di Ferrara
29,Universita degli Studi di Udine
31,Universita degli Studi di Brescia
33,Scuola Normale Superiore di Pisa
35,Universita degli Studi di Messina
37,Seconda Universita degli Studi di Napoli
39,Libera Universita di Bolzano / Freie Universitat Bozen / Free University of Bozen
41,Annunzio Chieti e Pescara"
43,Universita degli Studi di Cassino
45,Universita degli Studi di Sassari
47,Universita degli Studi di Urbino Carlo Bo
49,Universita degli Studi di Bergamo
51,Universita degli Studi del Piemonte Orientale Amedeo Avogadro
53,Universita degli Studi della Tuscia
55,Anna SSSUP di Pisa"
57,Universita degli Studi di Napoli Parthenope (Istituto Universitario Navale)
59,Universita Vita Salute San Raffaele
61,Universita degli Studi Magna Graecia di Catanzaro
63,Universita Campus Bio Medico di Roma
65,Universita degli Studi di Teramo
67,Universita di Macerata (Universita degli Studi di Macerata)
69,Universita di Roma LUMSA (Libera Universita Maria SS Assunta)
71,Universita per Stranieri di Perugia
73,Libera Universita Internazionale degli Studi Sociali Guido Carli LUISS
75,Libera Universita di Lingue e Comunicazione (IULM Istituto universitario di lingue moderne)
77,Universita Carlo Cattaneo (Libero istituto universitario Carlo Cattaneo LIUC)
79,Orientale (Istituto Universitario Orientale di Napoli)"
81,Universita degli Studi Niccolo Cusano (Universita delle Scienze Umane)
83,Universita degli Studi Suor Orsola Benincasa Napoli
85,Pontificia Universita Lateranense
87,Johns Hopkins University School of Advanced International Studies Bologna
89,Universita degli Studi di Enna Kore
91,eCampus Universita telematica
93,Istituto Marangoni Fashion and Design School
95,Aosta / Universite de la Vallee d
97,Universita Pontificia Salesiana
99,American Academy in Rome
2,Universita di Bologna (Universita degli Studi di Bologna)
4,Universita degli Studi di Milano
6,Universita degli Studi di Napoli Federico II
8,Universita degli Studi di Torino
10,Universita degli Studi di Genova
12,Universita degli Studi di Roma Tor Vergata
14,Universita degli Studi di Milano Bicocca
16,Universita degli Studi di Perugia
18,Universita Cattolica del Sacro Cuore
20,Universita degli Studi di Palermo
22,Universita degli Studi di Siena
24,Universita degli Studi di Trieste
26,Universita degli Studi di Verona
28,Universita degli Studi di Modena e Reggio Emilia
30,Universita degli Studi di Cagliari
32,International School for Advanced Studies / Scuola Internazionale Superiore di Studi Avanzati SISSA di Trieste
34,Universita Politecnica delle Marche
36, Foscari di Venezia"
38,Universita del Salento (Universita degli Studi di Lecce)
40,Aquila"
42,(1) Universita Commerciale Luigi Bocconi Milano
44,European University Institute
46,Insubria Varese e Como"
48,Politecnico di Bari
50,Universita degli Studi della Basilicata
52,Universita degli Studi di Camerino
54,Universita degli Studi di Pavia
56,Universita degli Studi del Sannio
58,Universita degli Studi di Foggia
60,Universita degli Studi Mediterranea di Reggio Calabria
62,Universita degli Studi del Molise
64,Universita IUAV di Venezia (Istituto universitario di architettura di Venezia)
66,Istituto di studi avanzati di Lucca IMT
68,Universita degli Studi Guglielmo Marconi
70,Scuola Superiore IUSS Istituto Universitario di Studi Superiori di Pavia
72,Universita degli studi di Roma Foro Italico (Istituto Universitario di Scienze Motorie)
74,Pontificia Universita Gregoriana / Pontifical Gregorian University
76,Pontificia Universita della Santa Croce
78,Adige (Istituto Agrario)"
80,John Cabot University
82,Universita di Scienze Gastronomiche Bra Colorno
84,Universita per Stranieri di Siena
86,Universita Telematica Internazionale UniNettuno
88,Accademia Nazionale di Santa Cecilia
90,Link Campus University
92,European School of Oncology
94,Universita Telematica Pegaso
96,American University of Rome
98,Nuova Accademia di Belle Arti di Milano
100,Universita Europea di Roma
