1,(2) Universidade de Sao Paulo USP
3,Universidade Estadual de Campinas UNICAMP
5,Universidad de Chile
7,Universidade Estadual Paulista Julio de Mesquita Filho
9,Universidade Federal de Minas Gerais UFMG
11,Pontificia Universidad Catolica de Chile
13,Universidad Nacional de Colombia
15,Universidad de Puerto Rico
17,Universidade Federal Fluminense
19,Centro de Investigacion y de Estudios Avanzados del IPN CINVESTAV
21,Universidade Federal da Bahia
23,Universidade Federal de Pernambuco
25,Universidad de Concepcion
27,Pontificia Universidade Catolica do Rio de Janeiro PUC-RIO
29,Universidad de Antioquia
31,Universidade Federal de Sao Carlos
33,Instituto Politecnico Nacional
35,Universidad de Guadalajara
37,Pontificia Universidad Javeriana
39,Pontificia Universidade Catolica do Rio Grande do Sul PUCRS
41,Universidade Federal de Vicosa UFV
43,Universidade Estadual de Londrina
45,Benemerita Universidad Autonoma de Puebla
47,Universidad de Santiago de Chile
49,Universidade Federal de Juiz de Fora UFJF
51,Universidade Federal do Espirito Santo
53,Universidad Austral de Chile
55,Universidad Autonoma de Nuevo Leon
57,Universidade Federal de Campina Grande
59,Universidade Federal do ABC UFABC
61,(3) Universidad de Puerto Rico Mayaguez
63,Pontificia Universidade Catolica do Parana PUCPR
65,Tecnologico de Monterrey
67,Pontificia Universidad Catolica de Valparaiso
69,Universidad Autonoma de San Luis Potosi
71,Universidad Nacional Mayor de San Marcos
73,Universidad de los Andes Merida
75,Universidad Veracruzana
77,Universidad de Talca
79,Universidad del Rosario
81,Universidad Michoacana de San Nicolas de Hidalgo
83,Universidad de Guanajuato
85,Universidad San Francisco de Quito
87,Universidade do Vale do Rio dos Sinos UNISINOS
89,Universidad de Tarapaca
91,Universidad Simon Bolivar Venezuela
93,Universidade do Estado de Santa Catarina UDESC
95,Universidade Federal de Mato Grosso
97,Universidad Antonio Narino
99,Universidad de la Frontera
2,(2) Universidad Nacional Autonoma de Mexico
4,Universidade Federal do Rio de Janeiro
6,Universidade Federal do Rio Grande do Sul UFRGS
8,Universidad de Buenos Aires
10,Universidade Federal de Santa Catarina UFSC
12,Universidad Nacional de la Plata
14,Universidade de Brasilia UNB
16,Universidade Federal do Parana
18,Universidad de los Andes Colombia
20,Universidade Federal do Ceara
22,Universidade Federal do Rio Grande do Norte
24,Universidade do Estado do Rio de Janeiro UERJ
26,Universidade Federal de Sao Paulo UNIFESP
28,Universidade Federal de Goias UFG
30,Universidad de Costa Rica
32,Universidad Nacional de Cordoba
34,Universidade Federal de Santa Maria UFSM
36,Universidad Autonoma Metropolitana
38,Universidade Federal do Para UFPA
40,Pontificia Universidad Catolica del Peru
42,Universidade Estadual de Maringa
44,Universidad Tecnica Federico Santa Maria
46,Universidade Federal da Paraiba UFPB
48,Universidade Federal de Pelotas UFPEL
50,Universidade Federal de Uberlandia
52,Universidad Nacional de Rosario
54,Fundacao Getulio Vargas FGV
56,Universidade Federal do Amazonas UFAM
58,Universidad Diego Portales
60,Universidad Andres Bello
62,Universidade Federal de Sao Joao del Rei UFSJ
64,Universidad Autonoma del Estado de Mexico
66,Universidade Estadual de Ponta Grossa UEPG
68,Universidade Federal de Lavras UFLA
70,Universidade Tecnologica Federal do Parana UTFPR
72,Universidad Central de Venezuela
74,Universidad Nacional del Litoral
76,Universidad Nacional de Mar del Plata
78,(3) Universidad de Puerto Rico Rio Piedras
80,Universidad Iberoamericana
82,Universidade Federal do Rio Grande FURG
84,Universidade Federal de Ouro Preto UFOP
86,Universidad Tecnologica Nacional
88,Universidad de Valparaiso
90,Universidad Nacional del Centro de la Provincia de Buenos Aires
92,Universidad Nacional de San Martin Argentina
94,Universidade Federal de Sergipe UFS
96,Universidade Federal do Maranhao
98,Universidad ICESI
100,Escuela Superior Politecnica del Litoral
