1,University of Melbourne
3,University of New South Wales
5,University of Sydney
7,University of Adelaide
9,University of Auckland
11,Queensland University of Technology
13,University of Technology Sydney
15,Griffith University
17,Deakin University
19,University of Newcastle
21,University of Tasmania
23,James Cook University
25,Flinders University
27,Western Sydney University
29,Murdoch University
31,University of New England Australia
33,Victoria University
35,Edith Cowan University
37,Auckland University of Technology
39,Southern Cross University
41,Bond University
43,Charles Darwin University
45,Lincoln University Canterbury
47,University of the South Pacific
49,Unitec New Zealand
51,Australian Maritime College
53,Federation University Australia
55,Manukau Institute of Technology
57,TAFE NSW Degrees
59,Ara Institute of Canterbury (formerly Christchurch Polytechnic Institute of Technology)
61,Waikato Institute of Technology
63,Open Colleges
65,Alphacrucis College (Harvest Bible College)
67,Universal College of Learning
69,Whitireia Polytechnic
71,William Angliss Institute
73,Open Polytechnic of New Zealand
75,Endeavour College of Natural Health
77,College of Micronesia FSM
79,Melbourne Institute of Technology
81,Australian College of Physical Education
83,Sydney Institute Colleges TAFE NSW
85,Toi Ohomai Institute of Technology
87,Kangan Batman Institute
89,Victorian Institute of Forensic Medicine
91,American Samoa Community College
93,Holmes Institute
95,(4) ACS Distance Education
97,Southern Institute of Technology
99,National University of Samoa
2,University of Queensland
4,Australian National University
6,Monash University
8,University of Western Australia
10,Curtin University of Technology
12,Macquarie University
14,University of Wollongong
16,RMIT University
18,University of Otago
20,University of South Australia
22,La Trobe University
24,University of Canterbury
26,Massey University
28,University of Waikato
30,Charles Sturt University
32,Australian Catholic University
34,University of Canberra
36,Swinburne University of Technology
38,University of Southern Queensland
40,Central Queensland University CQUniversity
42,Victoria University of Wellington
44,University of the Sunshine Coast
46,University of Notre Dame Australia
48,Menzies School of Health Research
50,University of Guam / Unibetsedat Guahan
52,Eastern Institute of Technology Hawkes Bay and Tairawhiti
54,Fiji National University
56,Otago Polytechnic
58,Universite de la Polynesie Francaise
60,University of Papua New Guinea
62,(3) Melbourne Business School
64,Nelson Marlborough Institute of Technology
66,Divine Word University
68,Canberra Institute of Technology
70,Avondale College
72,Melbourne Polytechnic
74,Australian Institute of Business
76,Australian College of Applied Psychology
78,Adelaide Institute of TAFE
80,Torrens University Australia
82,TAFE Queensland
84,Australian Film Television and Radio School
86,Auckland Institute of Studies
88,Batchelor Institute of Indigenous Tertiary Education
90,Monash College
92,International College of Management Sydney
94,INSEARCH
96,Box Hill Institute
98,National Institute of Dramatic Art
100,Papua New Guinea University of Technology
