1,National University of Singapore
3,University of Malaya
5,Universiti Teknologi Malaysia
7,Universiti Putra Malaysia
9,Chiang Mai University
11,Khon Kaen University
13,Singapore Management University
15,Universitas Gadjah Mada
17,Prince of Songkla University
19,Universiti Teknologi MARA / MARA University of Technology
21,Institut Teknologi Bandung / Institute of Technology Bandung
23,University of the Philippines Diliman
25,Vietnam National University Hanoi
27,International Islamic University of Malaysia
29,Universiti Malaysia Perlis
31,s Institute of Technology Ladkrabang"
33,s University of Technology North Bangkok"
35,Universitas Sebelas Maret UNS Surakarta
37,Universitas Padjadjaran Bandung
39,Universitas Syiah Kuala
41,Universiti Tun Hussein Onn Malaysia
43,Burapha University
45,University of Nottingham Malaysia
47,Universiti Tunku Abdul Rahman
49,Universiti Teknikal Malaysia Melaka
51,Universiti Malaysia Sabah
53,University of Brunei Darussalam
55,Mahasarakham University
57,Can Tho University
59,Universitas Hasanuddin
61,Mae Fah Luang University
63,National Institute of Development Administration
65,Universitas Jember
67,Universitas Andalas
69,Universiti Malaysia Terengganu
71,Universitas Lampung
73,(3) University of the Philippines Los Ba\xc3\xb1os
75,(3) University of the Philippines
77,Monash University Malaysia
79,Universitas Tadulako
81,Universitas Sumatera Utara
83,Universiti Malaysia Kelantan
85,Universitas Riau
87,Universiti Sains Islam Malaysia
89,Walailak University
91,Universitas Negeri Semarang
93,Suan Sunandha Rajabhat University
95,Singapore Polytechnic
97,Mahanakorn University of Technology
99,Universitas Mercu Buana
2,Nanyang Technological University
4,Chulalongkorn University
6,Mahidol University
8,Universiti Sains Malaysia
10,Kasetsart University
12,Universiti Kebangsaan Malaysia / National University of Malaysia
14,Universitas Indonesia
16,Suranaree University of Technology
18,s University of Technology Thonburi"
20,Thammasat University
22,Singapore University of Technology and Design
24,Naresuan University
26,Institut Pertanian Bogor / Bogor Agricultural University
28,(1) Hanoi University of Science & Technology
30,Asian Institute of Technology Thailand
32,Universitas Diponegoro
34,Universiti Tenaga Nasional
36,Universiti Malaysia Pahang
38,Institut Teknologi Sepuluh Nopember
40,Universiti Utara Malaysia
42,Multimedia University
44,Universiti Teknologi Petronas
46,De La Salle University Manila
48,Srinakharinwirot University
50,Telkom University / Universitas Telkom
52,Ngee Ann Polytechnic
54,Universitas Airlangga
56,Universiti Malaysia Sarawak
58,Universitas Pendidikan Indonesia
60,Silpakorn University
62,Ateneo de Manila University
64,Ubon Ratchathani University
66,(3) University of the Philippines Manila
68,Universitas Udayana
70,Universitas Jenderal Soedirman
72,International Medical University
74,Sunway University
76,Vietnam National University Ho Chi Minh City
78,Universiti Pendidikan Sultan Idris
80,Universiti Kuala Lumpur
82,Bangkok University
84,Universitas Negeri Yogyakarta
86,Universitas Binus Nusantara
88,Universitas Sriwijaya
90,Nakhon Pathom Rajabhat University
92,Rangsit University
94,Nanyang Polytechnic
96,University of Santo Tomas
98,Universiti Sultan Zainal Abidin (Universiti Darul Iman Malaysia)
100,Hanoi Medical University
