1,University of Cape Town
3,Stellenbosch University
5,University of Kwazulu Natal
7,University of Johannesburg
9,University of the Western Cape
11,University of South Africa
13,Rhodes University
15,Alexandria University
17,American University in Cairo
19,Kenyatta University
21,University of Ghana
23,Egerton University
25,Benha University
27,University of Zimbabwe
29,Assiut University
31,Moi University
33,Universite Cadi Ayyad Marrakech
35,University of Fort Hare
37,University of Nigeria
39,Obafemi Awolowo University
41,Al Azhar University
43,Helwan University
45,Universite des Sciences et de la Technologie Houari Boumediene
47,Universite Mohammed Premier Oujda
49,Cape Peninsula University of Technology
51,Suez Canal University
53,Minufiya University
55,Fayoum University
57,University of Mauritius
59,Universite Abou Bekr Belkaid Tlemcen
61,Ahmadu Bello University
63,Jomo Kenyatta University of Agriculture and Technology
65,British University in Egypt
67,University of Ilorin
69,German University in Cairo
71,University of Port Harcourt
73,Universite Cheikh Anta Diop de Dakar
75,Abomey Calavi"
77,Universite Mohamed Khider Biskra
79,Federal University of Technology Akure
81,Universite Setif 1 Ferhat Abbas Setif
83,University of Rwanda
85,Zewail City of Science and Technology
87,Al Akhawayn University Ifrane
89,Sokoine University of Agriculture
91,Universite Badji Mokhtar de Annaba
93,University of Zambia
95,Universite Mouloud Mammeri de Tizi Ouzou
97,Universite de Ouagadougou
99,Oran Mohamed Boudiaf"
2,University of the Witwatersrand
4,University of Pretoria
6,Cairo University
8,University of Nairobi
10,North West University
12,University of Ibadan
14,Makerere University
16,Mansoura University
18,Ain Shams University
20,Addis Ababa University
22,University of the Free State
24,Jimma University
26,University of Dar Es Salaam
28,Universite des Freres Mentouri Constantine 1 (Ex Universite Mentouri)
30,Universite Mohammed V de Rabat
32,Kwame Nkrumah University of Science & Technology
34,Zagazig University
36,University of Tanta
38,Tshwane University of Technology
40,University of Khartoum
42,Covenant University Ota
44,Mbarara University of Science and Technology
46,Durban University of Technology
48,Nelson Mandela University
50,Arab Academy for Science & Technology and Maritime Transport
52,Universite de Batna
54,Kafrelsheikh University
56,Minia University
58,Djillali Liabes university of Sidi Bel Abbes
60,Muhimbili University of Health and Allied Sciences
62,University of Lagos
64,University of Botswana
66,Beni Suef University
68,South Valley University
70,Universite de Bejaia
72,Aswan University
74,University of Limpopo
76,Universite Sidi Mohammed Ben Abdellah Fes
78,Federal University of Technology Minna
80,University of Cape Coast
82,Universite Kasdi Merbah Ouargla
84,Universite Hassan II de Casablanca
86,University of Malawi
88,Agadir"
90,Mekelle University
92,University of Venda
94,Alger"
96,Universite de Tunis El Manar
98,Egypt Japan University of Science & Technology
100,Universite de Jijel
